variant,trial,skew,keys,threads,cap,shards,ops,total_elapsed_ns,aggregate_mops,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c8,0,1,1000000,1,16384,256,4000000,439346082,9.1044,0.6901,104.62,193.93,0.0000
c8,1,1,1000000,1,16384,256,4000000,472385857,8.4677,0.6901,108.90,250.26,0.0000
c8,2,1,1000000,1,16384,256,4000000,483143659,8.2791,0.6901,110.98,234.70,0.0000
moka,0,1,1000000,1,16384,0,4000000,2045834622,1.9552,0.6885,467.31,1020.04,0.0000
moka,1,1,1000000,1,16384,0,4000000,2039094930,1.9617,0.6889,468.48,952.92,0.0000
moka,2,1,1000000,1,16384,0,4000000,1993543288,2.0065,0.6882,456.38,994.70,0.0000
mini_moka,0,1,1000000,1,16384,0,4000000,1888310674,2.1183,0.6877,451.65,731.02,0.0000
mini_moka,1,1,1000000,1,16384,0,4000000,1783727304,2.2425,0.6886,414.79,886.34,0.0000
mini_moka,2,1,1000000,1,16384,0,4000000,1823322482,2.1938,0.6887,423.51,829.43,0.0000
c8,0,1,1000000,2,16384,256,4000000,299014911,13.3773,0.6895,138.46,259.96,0.0042
c8,1,1,1000000,2,16384,256,4000000,284996902,14.0352,0.6895,137.28,235.87,0.0012
c8,2,1,1000000,2,16384,256,4000000,290364131,13.7758,0.6897,139.89,235.95,0.0044
moka,0,1,1000000,2,16384,0,4000000,1550188604,2.5803,0.6894,730.71,1484.42,0.0005
moka,1,1,1000000,2,16384,0,4000000,1558474857,2.5666,0.6897,742.11,1390.03,0.0022
moka,2,1,1000000,2,16384,0,4000000,1552640734,2.5763,0.6889,729.98,1498.51,0.0130
mini_moka,0,1,1000000,2,16384,0,4000000,1431495497,2.7943,0.6879,686.43,1145.71,0.0017
mini_moka,1,1,1000000,2,16384,0,4000000,1477085073,2.7080,0.6887,705.29,1288.83,0.0010
mini_moka,2,1,1000000,2,16384,0,4000000,1512692397,2.6443,0.6879,725.70,1160.07,0.0046
c8,0,1,1000000,4,16384,256,4000000,186536670,21.4435,0.6903,176.69,334.79,0.0096
c8,1,1,1000000,4,16384,256,4000000,195759351,20.4333,0.6898,174.19,381.38,0.0063
c8,2,1,1000000,4,16384,256,4000000,178089042,22.4607,0.6903,169.54,302.76,0.0119
moka,0,1,1000000,4,16384,0,4000000,1138513728,3.5134,0.6857,854.03,3385.51,0.0062
moka,1,1,1000000,4,16384,0,4000000,1111482072,3.5988,0.6894,823.54,3501.00,0.0078
moka,2,1,1000000,4,16384,0,4000000,1086521278,3.6815,0.6886,806.84,3342.70,0.0155
mini_moka,0,1,1000000,4,16384,0,4000000,712979037,5.6103,0.6904,700.33,1284.87,0.0130
mini_moka,1,1,1000000,4,16384,0,4000000,721924181,5.5407,0.6908,700.36,1382.33,0.0178
mini_moka,2,1,1000000,4,16384,0,4000000,714288783,5.6000,0.6906,696.93,1359.50,0.0118
c8,0,1,1000000,8,16384,256,4000000,114896884,34.8138,0.6902,197.73,430.90,0.0328
c8,1,1,1000000,8,16384,256,4000000,112041852,35.7009,0.6902,195.28,391.40,0.0339
c8,2,1,1000000,8,16384,256,4000000,121118006,33.0256,0.6900,213.12,473.48,0.0330
moka,0,1,1000000,8,16384,0,4000000,1112322513,3.5961,0.6875,1925.65,6425.08,0.0175
moka,1,1,1000000,8,16384,0,4000000,1150002330,3.4783,0.6871,2003.79,6554.44,0.0069
moka,2,1,1000000,8,16384,0,4000000,1118446891,3.5764,0.6872,1942.63,6360.77,0.0092
mini_moka,0,1,1000000,8,16384,0,4000000,612168382,6.5341,0.6893,1098.08,2530.08,0.0143
mini_moka,1,1,1000000,8,16384,0,4000000,607005230,6.5897,0.6898,1110.08,2421.94,0.0109
mini_moka,2,1,1000000,8,16384,0,4000000,614861601,6.5055,0.6892,1104.34,2454.79,0.0131
c8,0,1,1000000,16,16384,256,4000000,78523759,50.9400,0.6906,268.35,680.66,0.0245
c8,1,1,1000000,16,16384,256,4000000,78197204,51.1527,0.6905,269.79,678.03,0.0247
c8,2,1,1000000,16,16384,256,4000000,80893051,49.4480,0.6905,273.16,924.49,0.0331
moka,0,1,1000000,16,16384,0,4000000,1212626870,3.2986,0.6879,4556.76,10162.23,0.0099
moka,1,1,1000000,16,16384,0,4000000,1207732712,3.3120,0.6874,4561.86,10120.24,0.0123
moka,2,1,1000000,16,16384,0,4000000,1252751383,3.1930,0.6840,4677.71,10792.38,0.0129
mini_moka,0,1,1000000,16,16384,0,4000000,661351512,6.0482,0.6890,2534.97,4541.66,0.0083
mini_moka,1,1,1000000,16,16384,0,4000000,658313681,6.0761,0.6891,2521.66,4888.37,0.0089
mini_moka,2,1,1000000,16,16384,0,4000000,674420453,5.9310,0.6894,2565.81,5137.67,0.0083
