tool,variant,capacity,run,elapsed_ns,hits,misses,miss_ratio,mqps
cachesim-bin,Sieve,144,1,148809524,511900,488100,0.4881,6.72
cachesim-bin,Sieve,144,2,129533679,511900,488100,0.4881,7.72
cachesim-bin,Sieve,144,3,132275132,511900,488100,0.4881,7.56
cachesim-bin,Sieve,144,4,132450331,511900,488100,0.4881,7.55
cachesim-bin,Sieve,144,5,131233596,511900,488100,0.4881,7.62
cachesim-bin,Sieve,1435,1,130039012,678400,321600,0.3216,7.69
cachesim-bin,Sieve,1435,2,129870130,678400,321600,0.3216,7.70
cachesim-bin,Sieve,1435,3,128534704,678400,321600,0.3216,7.78
cachesim-bin,Sieve,1435,4,129533679,678400,321600,0.3216,7.72
cachesim-bin,Sieve,1435,5,128369705,678400,321600,0.3216,7.79
cachesim-bin,Sieve,14354,1,132978723,802700,197300,0.1973,7.52
cachesim-bin,Sieve,14354,2,133868809,802700,197300,0.1973,7.47
cachesim-bin,Sieve,14354,3,139082058,802700,197300,0.1973,7.19
cachesim-bin,Sieve,14354,4,132100396,802700,197300,0.1973,7.57
cachesim-bin,Sieve,14354,5,138121547,802700,197300,0.1973,7.24
