tool,variant,capacity,run,elapsed_ns,hits,misses,miss_ratio,mqps
cachesim,Sieve,144,1,396825397,511900,488100,0.4881,2.52
cachesim,Sieve,144,2,381679389,511900,488100,0.4881,2.62
cachesim,Sieve,144,3,378787879,511900,488100,0.4881,2.64
cachesim,Sieve,144,4,374531835,511900,488100,0.4881,2.67
cachesim,Sieve,144,5,384615385,511900,488100,0.4881,2.60
senba,orig,144,1,38064129,511927,488073,0.4881,26.27
senba,senba_n16,144,1,28171579,452663,547337,0.5473,35.50
senba,orig,144,2,37385733,511927,488073,0.4881,26.75
senba,senba_n16,144,2,28724146,452663,547337,0.5473,34.81
senba,orig,144,3,35975033,511927,488073,0.4881,27.80
senba,senba_n16,144,3,33077107,452663,547337,0.5473,30.23
senba,orig,144,4,35863601,511927,488073,0.4881,27.88
senba,senba_n16,144,4,28344270,452663,547337,0.5473,35.28
senba,orig,144,5,34878985,511927,488073,0.4881,28.67
senba,senba_n16,144,5,27646606,452663,547337,0.5473,36.17
cachesim,Sieve,1435,1,377358491,678400,321600,0.3216,2.65
cachesim,Sieve,1435,2,384615385,678400,321600,0.3216,2.60
cachesim,Sieve,1435,3,392156863,678400,321600,0.3216,2.55
cachesim,Sieve,1435,4,378787879,678400,321600,0.3216,2.64
cachesim,Sieve,1435,5,383141762,678400,321600,0.3216,2.61
senba,orig,1435,1,29512432,678414,321586,0.3216,33.88
senba,senba_n32,1435,1,31422806,634154,365846,0.3658,31.82
senba,orig,1435,2,28337007,678414,321586,0.3216,35.29
senba,senba_n32,1435,2,29731874,634154,365846,0.3658,33.63
senba,orig,1435,3,28789288,678414,321586,0.3216,34.74
senba,senba_n32,1435,3,29338368,634154,365846,0.3658,34.09
senba,orig,1435,4,28975568,678414,321586,0.3216,34.51
senba,senba_n32,1435,4,30149565,634154,365846,0.3658,33.17
senba,orig,1435,5,29897073,678414,321586,0.3216,33.45
senba,senba_n32,1435,5,30166935,634154,365846,0.3658,33.15
cachesim,Sieve,14354,1,401606426,802700,197300,0.1973,2.49
cachesim,Sieve,14354,2,396825397,802700,197300,0.1973,2.52
cachesim,Sieve,14354,3,396825397,802700,197300,0.1973,2.52
cachesim,Sieve,14354,4,418410042,802700,197300,0.1973,2.39
cachesim,Sieve,14354,5,396825397,802700,197300,0.1973,2.52
senba,orig,14354,1,21186248,802746,197254,0.1973,47.20
senba,senba_n256,14354,1,27933357,768294,231706,0.2317,35.80
senba,orig,14354,2,23379919,802746,197254,0.1973,42.77
senba,senba_n256,14354,2,29068838,768294,231706,0.2317,34.40
senba,orig,14354,3,23312185,802746,197254,0.1973,42.90
senba,senba_n256,14354,3,29092073,768294,231706,0.2317,34.37
senba,orig,14354,4,22803156,802746,197254,0.1973,43.85
senba,senba_n256,14354,4,28817258,768294,231706,0.2317,34.70
senba,orig,14354,5,23406404,802746,197254,0.1973,42.72
senba,senba_n256,14354,5,28532388,768294,231706,0.2317,35.05
