config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
A,1,twitter,cluster006,32,32,senba_n32,1000000,1024,30418285,131317,868683,867659
A,1,twitter,cluster006,64,16,senba_n16,1000000,1024,38439646,131811,868189,867165
A,1,twitter,cluster006,32,128,senba_n128,1000000,4096,29863950,351809,648191,644095
A,1,twitter,cluster006,64,64,senba_n64,1000000,4096,33839411,352933,647067,642971
A,1,twitter,cluster006,32,512,senba_n512,1000000,16384,29052390,638399,361601,345217
A,1,twitter,cluster006,64,256,senba_n256,1000000,16384,33213326,641770,358230,341846
A,1,twitter,cluster006,32,2048,senba_n2048,1000000,65536,22662490,827400,172600,107064
A,1,twitter,cluster006,64,1024,senba_n1024,1000000,65536,28439132,828812,171188,105652
A,1,twitter-string,cluster006,32,32,senba_n32,1000000,1024,63496873,131146,868854,867830
A,1,twitter-string,cluster006,64,16,senba_n16,1000000,1024,69323348,131317,868683,867659
A,1,twitter-string,cluster006,32,128,senba_n128,1000000,4096,65053800,352134,647866,643770
A,1,twitter-string,cluster006,64,64,senba_n64,1000000,4096,67551602,353086,646914,642818
A,1,twitter-string,cluster006,32,512,senba_n512,1000000,16384,69505843,637576,362424,346040
A,1,twitter-string,cluster006,64,256,senba_n256,1000000,16384,67940169,641351,358649,342265
A,1,twitter-string,cluster006,32,2048,senba_n2048,1000000,65536,87955585,827429,172571,107035
A,1,twitter-string,cluster006,64,1024,senba_n1024,1000000,65536,82799860,828848,171152,105616
A,1,twitter,cluster018,32,32,senba_n32,1000000,1024,27900169,510136,489864,488840
A,1,twitter,cluster018,64,16,senba_n16,1000000,1024,30955051,508369,491631,490607
A,1,twitter,cluster018,32,128,senba_n128,1000000,4096,26375592,627333,372667,368571
A,1,twitter,cluster018,64,64,senba_n64,1000000,4096,30219184,627648,372352,368256
A,1,twitter,cluster018,32,512,senba_n512,1000000,16384,25814236,736524,263476,247092
A,1,twitter,cluster018,64,256,senba_n256,1000000,16384,29782805,737376,262624,246240
A,1,twitter,cluster018,32,2048,senba_n2048,1000000,65536,24022431,820448,179552,114016
A,1,twitter,cluster018,64,1024,senba_n1024,1000000,65536,27815637,820672,179328,113792
A,1,twitter-string,cluster018,32,32,senba_n32,1000000,1024,47865089,510655,489345,488321
