config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
B,1,twitter,cluster006,32,32,senba_n32,1000000,1024,31985646,131317,868683,867659
B,1,twitter,cluster006,64,16,senba_n16,1000000,1024,32045207,131811,868189,867165
B,1,twitter,cluster006,32,128,senba_n128,1000000,4096,29093779,351809,648191,644095
B,1,twitter,cluster006,64,64,senba_n64,1000000,4096,32092744,352933,647067,642971
B,1,twitter,cluster006,32,512,senba_n512,1000000,16384,28667130,638399,361601,345217
B,1,twitter,cluster006,64,256,senba_n256,1000000,16384,31344598,641770,358230,341846
B,1,twitter,cluster006,32,2048,senba_n2048,1000000,65536,21459943,827400,172600,107064
B,1,twitter,cluster006,64,1024,senba_n1024,1000000,65536,25623022,828812,171188,105652
B,1,twitter-string,cluster006,32,32,senba_n32,1000000,1024,64588777,131146,868854,867830
B,1,twitter-string,cluster006,64,16,senba_n16,1000000,1024,65772098,131317,868683,867659
B,1,twitter-string,cluster006,32,128,senba_n128,1000000,4096,59509097,352134,647866,643770
B,1,twitter-string,cluster006,64,64,senba_n64,1000000,4096,66524330,353086,646914,642818
B,1,twitter-string,cluster006,32,512,senba_n512,1000000,16384,66933044,637576,362424,346040
B,1,twitter-string,cluster006,64,256,senba_n256,1000000,16384,71955860,641351,358649,342265
B,1,twitter-string,cluster006,32,2048,senba_n2048,1000000,65536,77837209,827429,172571,107035
B,1,twitter-string,cluster006,64,1024,senba_n1024,1000000,65536,74103173,828848,171152,105616
B,1,twitter,cluster018,32,32,senba_n32,1000000,1024,27369541,510136,489864,488840
B,1,twitter,cluster018,64,16,senba_n16,1000000,1024,31455501,508369,491631,490607
B,1,twitter,cluster018,32,128,senba_n128,1000000,4096,27306294,627333,372667,368571
B,1,twitter,cluster018,64,64,senba_n64,1000000,4096,28872468,627648,372352,368256
B,1,twitter,cluster018,32,512,senba_n512,1000000,16384,25457199,736524,263476,247092
B,1,twitter,cluster018,64,256,senba_n256,1000000,16384,28339678,737376,262624,246240
B,1,twitter,cluster018,32,2048,senba_n2048,1000000,65536,22825061,820448,179552,114016
B,1,twitter,cluster018,64,1024,senba_n1024,1000000,65536,27665792,820672,179328,113792
B,1,twitter-string,cluster018,32,32,senba_n32,1000000,1024,49611174,510655,489345,488321
B,1,twitter-string,cluster018,64,16,senba_n16,1000000,1024,52971826,508066,491934,490910
B,1,twitter-string,cluster018,32,128,senba_n128,1000000,4096,48582168,627104,372896,368800
B,1,twitter-string,cluster018,64,64,senba_n64,1000000,4096,50795502,627585,372415,368319
B,1,twitter-string,cluster018,32,512,senba_n512,1000000,16384,52633271,736081,263919,247535
B,1,twitter-string,cluster018,64,256,senba_n256,1000000,16384,53673187,737034,262966,246582
B,1,twitter-string,cluster018,32,2048,senba_n2048,1000000,65536,59386074,820648,179352,113816
B,1,twitter-string,cluster018,64,1024,senba_n1024,1000000,65536,58263549,820716,179284,113748
B,2,twitter,cluster006,32,32,senba_n32,1000000,1024,28045973,131317,868683,867659
B,2,twitter,cluster006,64,16,senba_n16,1000000,1024,30183800,131811,868189,867165
B,2,twitter,cluster006,32,128,senba_n128,1000000,4096,32492091,351809,648191,644095
B,2,twitter,cluster006,64,64,senba_n64,1000000,4096,32372187,352933,647067,642971
B,2,twitter,cluster006,32,512,senba_n512,1000000,16384,26319311,638399,361601,345217
B,2,twitter,cluster006,64,256,senba_n256,1000000,16384,30311873,641770,358230,341846
