config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
C,1,twitter,cluster006,32,32,senba_n32,1000000,1024,29351697,131317,868683,867659
C,1,twitter,cluster006,64,16,senba_n16,1000000,1024,32319435,131811,868189,867165
C,1,twitter,cluster006,32,128,senba_n128,1000000,4096,28487966,351809,648191,644095
C,1,twitter,cluster006,64,64,senba_n64,1000000,4096,33364786,352933,647067,642971
C,1,twitter,cluster006,32,512,senba_n512,1000000,16384,27084308,638399,361601,345217
C,1,twitter,cluster006,64,256,senba_n256,1000000,16384,32042963,641770,358230,341846
C,1,twitter,cluster006,32,2048,senba_n2048,1000000,65536,22258961,827400,172600,107064
C,1,twitter,cluster006,64,1024,senba_n1024,1000000,65536,25366732,828812,171188,105652
C,1,twitter-string,cluster006,32,32,senba_n32,1000000,1024,60712498,131146,868854,867830
C,1,twitter-string,cluster006,64,16,senba_n16,1000000,1024,64179432,131317,868683,867659
C,1,twitter-string,cluster006,32,128,senba_n128,1000000,4096,60300173,352134,647866,643770
C,1,twitter-string,cluster006,64,64,senba_n64,1000000,4096,65384899,353086,646914,642818
C,1,twitter-string,cluster006,32,512,senba_n512,1000000,16384,65244327,637576,362424,346040
C,1,twitter-string,cluster006,64,256,senba_n256,1000000,16384,70917621,641351,358649,342265
C,1,twitter-string,cluster006,32,2048,senba_n2048,1000000,65536,76253142,827429,172571,107035
C,1,twitter-string,cluster006,64,1024,senba_n1024,1000000,65536,80125461,828848,171152,105616
C,1,twitter,cluster018,32,32,senba_n32,1000000,1024,27399108,510136,489864,488840
C,1,twitter,cluster018,64,16,senba_n16,1000000,1024,32139554,508369,491631,490607
C,1,twitter,cluster018,32,128,senba_n128,1000000,4096,27104813,627333,372667,368571
C,1,twitter,cluster018,64,64,senba_n64,1000000,4096,29316865,627648,372352,368256
C,1,twitter,cluster018,32,512,senba_n512,1000000,16384,26041393,736524,263476,247092
C,1,twitter,cluster018,64,256,senba_n256,1000000,16384,29570277,737376,262624,246240
C,1,twitter,cluster018,32,2048,senba_n2048,1000000,65536,22818526,820448,179552,114016
C,1,twitter,cluster018,64,1024,senba_n1024,1000000,65536,28073537,820672,179328,113792
C,1,twitter-string,cluster018,32,32,senba_n32,1000000,1024,49160325,510655,489345,488321
C,1,twitter-string,cluster018,64,16,senba_n16,1000000,1024,50545311,508066,491934,490910
