variant,op_mix,workload_label,threads,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,cv
c11s,gim,adversarial-hot,1,85.1815,85.1815,1.0,11.48,17.16,0.0
c11s,gim,adversarial-hot,2,171.1934,85.5967,1.0,11.48,17.29,0.002
c11s,gim,adversarial-hot,4,333.9933,83.4983,1.0,11.48,17.93,0.0076
c11s,gim,adversarial-hot,8,407.0466,50.8808,1.0,11.51,46.28,0.2261
c11s,gim,adversarial-hot,16,563.0002,35.1875,1.0,19.05,52.96,0.185
c12s,gim,adversarial-hot,1,83.3651,83.3651,1.0,11.85,16.98,0.0
c12s,gim,adversarial-hot,2,163.3165,81.6582,1.0,11.85,19.18,0.0043
c12s,gim,adversarial-hot,4,264.1598,66.04,1.0,11.86,31.97,0.0928
c12s,gim,adversarial-hot,8,370.3563,46.2945,1.0,11.85,51.33,0.1825
c12s,gim,adversarial-hot,16,562.2082,35.138,1.0,19.73,55.28,0.1722
c13s,gim,adversarial-hot,1,84.6095,84.6095,1.0,11.64,17.77,0.0
c13s,gim,adversarial-hot,2,167.7626,83.8813,1.0,11.61,17.77,0.005
c13s,gim,adversarial-hot,4,336.6705,84.1676,1.0,11.62,17.7,0.0046
c13s,gim,adversarial-hot,8,382.5316,47.8165,1.0,11.62,52.45,0.2017
c13s,gim,adversarial-hot,16,541.658,33.8536,1.0,11.61,52.47,0.2504
c8,gim,adversarial-hot,1,64.642,64.642,1.0,15.03,22.0,0.0
c8,gim,adversarial-hot,2,28.6839,14.3419,1.0,69.33,119.69,0.0022
c8,gim,adversarial-hot,4,28.9667,7.2417,1.0,131.67,275.0,0.0215
c8,gim,adversarial-hot,8,30.595,3.8244,1.0,209.9,752.1,0.127
c8,gim,adversarial-hot,16,32.2286,2.0143,1.0,378.41,1558.23,0.1905
c11s,gim,uniform,1,10.4781,10.4781,0.0,93.23,136.4,0.0
c11s,gim,uniform,2,6.7758,3.3879,0.0,288.46,545.21,0.0054
c11s,gim,uniform,4,3.9373,0.9843,0.0,1010.29,1480.18,0.0049
c11s,gim,uniform,8,2.5184,0.3148,0.0,3145.71,4617.95,0.0125
c11s,gim,uniform,16,1.6109,0.1007,0.0,9895.73,13123.57,0.0026
c12s,gim,uniform,1,13.9154,13.9154,0.0,70.59,94.09,0.0
c12s,gim,uniform,2,7.4245,3.7122,0.0,272.93,336.58,0.0021
c12s,gim,uniform,4,6.974,1.7435,0.0,578.76,683.9,0.0026
c12s,gim,uniform,8,8.4816,1.0602,0.0,906.53,1244.95,0.0159
c12s,gim,uniform,16,9.1692,0.5731,0.0,1439.84,4416.29,0.0583
c13s,gim,uniform,1,1.2757,1.2757,0.0,778.49,885.14,0.0
c13s,gim,uniform,2,1.0697,0.5349,0.0,1833.61,2653.64,0.0319
c13s,gim,uniform,4,0.6646,0.1661,0.0,6053.47,7344.86,0.0073
c13s,gim,uniform,8,0.5063,0.0633,0.0,15810.85,19034.4,0.0058
c13s,gim,uniform,16,0.4033,0.0252,0.0,39614.74,44448.58,0.001
c8,gim,uniform,1,12.5522,12.5522,0.0,78.24,107.97,0.0
c8,gim,uniform,2,7.4713,3.7356,0.0,261.4,447.04,0.0226
c8,gim,uniform,4,4.7136,1.1784,0.0,846.84,1258.6,0.0146
c8,gim,uniform,8,2.7769,0.3471,0.0,2863.14,4310.31,0.0044
c8,gim,uniform,16,1.7605,0.11,0.0,9073.92,11942.8,0.0021
c11s,gim,zipf-0.7,1,7.083,7.083,0.0748,138.4,208.47,0.0
c11s,gim,zipf-0.7,2,5.3299,2.6649,0.0758,368.83,519.48,0.0036
c11s,gim,zipf-0.7,4,3.3073,0.8268,0.0758,1197.08,1811.96,0.0051
c11s,gim,zipf-0.7,8,1.9908,0.2489,0.076,4005.83,5425.16,0.0053
c11s,gim,zipf-0.7,16,1.427,0.0892,0.0768,11205.26,13896.4,0.0054
c12s,gim,zipf-0.7,1,8.5152,8.5152,0.0176,114.31,179.62,0.0
c12s,gim,zipf-0.7,2,7.2207,3.6104,0.0175,274.81,371.55,0.0036
c12s,gim,zipf-0.7,4,7.8499,1.9625,0.0173,501.97,627.55,0.0024
c12s,gim,zipf-0.7,8,7.9908,0.9988,0.0168,956.17,1638.28,0.0161
c12s,gim,zipf-0.7,16,9.6843,0.6053,0.0162,1375.53,4162.54,0.0447
c13s,gim,zipf-0.7,1,5.4863,5.4863,0.0748,165.34,447.82,0.0
c13s,gim,zipf-0.7,2,4.4772,2.2386,0.0781,429.61,735.28,0.004
c13s,gim,zipf-0.7,4,2.8165,0.7041,0.0764,1330.25,3102.21,0.0041
c13s,gim,zipf-0.7,8,1.7735,0.2217,0.0758,4350.75,8554.09,0.0075
c13s,gim,zipf-0.7,16,1.2139,0.0759,0.0764,12911.47,20018.77,0.0035
c8,gim,zipf-0.7,1,7.2461,7.2461,0.0748,132.39,216.42,0.0
c8,gim,zipf-0.7,2,5.7255,2.8627,0.0763,331.51,655.63,0.0013
c8,gim,zipf-0.7,4,3.4051,0.8513,0.0768,1128.71,2138.16,0.0139
c8,gim,zipf-0.7,8,2.0462,0.2558,0.0769,3903.88,5428.46,0.0054
c8,gim,zipf-0.7,16,1.5362,0.096,0.0762,10389.18,13839.26,0.0034
c11s,gim,zipf-1.0,1,8.6565,8.6565,0.376,113.39,152.96,0.0
c11s,gim,zipf-1.0,2,6.9902,3.4951,0.3738,280.53,428.72,0.0006
c11s,gim,zipf-1.0,4,4.3152,1.0788,0.3749,921.8,1345.16,0.0035
c11s,gim,zipf-1.0,8,2.8979,0.3622,0.3747,2742.89,3980.98,0.0077
c11s,gim,zipf-1.0,16,2.0429,0.1277,0.3753,7811.76,10040.46,0.0039
c12s,gim,zipf-1.0,1,9.16,9.16,0.2619,104.67,161.63,0.0
