variant,trial,workload,op_mix,skew,keys,threads,cap,ops,total_elapsed_ns,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c8,0,zipf,read-only,0.7,100000,1,64,1000000,54000775,18.5183,18.5183,0.0729,51.79,98.22,0.0000
c8,0,zipf,read-only,0.7,100000,2,64,2000000,58616499,34.1201,17.0600,0.0719,56.40,96.80,0.0000
c8,0,zipf,read-only,0.7,100000,4,64,4000000,70242749,56.9454,14.2363,0.0714,65.08,156.43,0.0131
c8,0,zipf,read-only,0.7,100000,8,64,8000000,105099675,76.1182,9.5148,0.0725,81.96,260.89,0.0504
c8,0,zipf,read-only,0.7,100000,16,64,16000000,185416461,86.2922,5.3933,0.0745,139.79,427.16,0.0791
c8,0,zipf,read-only,1,100000,1,64,1000000,56879985,17.5809,17.5809,0.3706,55.26,85.29,0.0000
c8,0,zipf,read-only,1,100000,2,64,2000000,81071130,24.6697,12.3348,0.3776,77.28,147.95,0.0122
c8,0,zipf,read-only,1,100000,4,64,4000000,126970562,31.5034,7.8758,0.3766,122.48,264.96,0.0082
c8,0,zipf,read-only,1,100000,8,64,8000000,207693934,38.5182,4.8148,0.3784,200.08,327.48,0.0084
c8,0,zipf,read-only,1,100000,16,64,16000000,364307790,43.9189,2.7449,0.3769,278.48,1356.56,0.0640
c8,0,zipf,read-only,1.2,100000,1,64,1000000,58648315,17.0508,17.0508,0.6607,56.03,105.16,0.0000
c8,0,zipf,read-only,1.2,100000,2,64,2000000,95791418,20.8787,10.4393,0.6508,90.51,218.27,0.0054
c8,0,zipf,read-only,1.2,100000,4,64,4000000,173108223,23.1069,5.7767,0.6515,169.12,328.36,0.0056
c8,0,zipf,read-only,1.2,100000,8,64,8000000,257819263,31.0295,3.8787,0.6598,245.08,457.67,0.0087
c8,0,zipf,read-only,1.2,100000,16,64,16000000,452985669,35.3212,2.2076,0.6595,362.22,954.35,0.0765
c8,0,adversarial-hot,read-only,1,1,1,64,1000000,15770417,63.4099,63.4099,1.0000,15.14,36.38,0.0000
c8,0,adversarial-hot,read-only,1,1,2,64,2000000,60424492,33.0992,16.5496,1.0000,69.21,88.84,0.0038
c8,0,adversarial-hot,read-only,1,1,4,64,4000000,141251363,28.3183,7.0796,1.0000,124.48,274.06,0.0440
c8,0,adversarial-hot,read-only,1,1,8,64,8000000,260331568,30.7300,3.8413,1.0000,223.88,539.24,0.0579
c8,0,adversarial-hot,read-only,1,1,16,64,16000000,546009445,29.3035,1.8315,1.0000,415.00,1556.42,0.0990
c8,0,uniform,read-only,1,100000,1,64,1000000,15789734,63.3323,63.3323,0.0006,15.44,24.93,0.0000
c8,0,uniform,read-only,1,100000,2,64,2000000,32250560,62.0144,31.0072,0.0006,24.52,66.78,0.1125
c8,0,uniform,read-only,1,100000,4,64,4000000,42289320,94.5865,23.6466,0.0006,26.25,68.41,0.4088
c8,0,uniform,read-only,1,100000,8,64,8000000,43287157,184.8123,23.1015,0.0006,23.71,86.04,0.3366
c8,0,uniform,read-only,1,100000,16,64,16000000,47837024,334.4690,20.9043,0.0006,25.38,85.12,0.2435
c8,0,zipf,read-heavy,0.7,100000,1,64,1000000,61874086,16.1619,16.1619,0.0701,58.79,107.15,0.0000
c8,0,zipf,read-heavy,0.7,100000,2,64,2000000,80702086,24.7825,12.3913,0.0722,74.80,162.34,0.0089
c8,0,zipf,read-heavy,0.7,100000,4,64,4000000,108513006,36.8619,9.2155,0.0730,100.57,214.76,0.0106
