variant,op_mix,skew,threads,aggregate_mops,hit_ratio,p50_chunk_ns,p99_chunk_ns,cv
c8,gim,0.7,1,4.9681,0.2396,191.31,397.14,0.0
c8,gim,0.7,2,7.6272,0.2461,247.01,446.83,0.0009
c8,gim,0.7,4,13.1898,0.2515,290.84,476.77,0.0043
c8,gim,0.7,8,18.9047,0.2547,391.89,685.39,0.0084
c8,gim,0.7,16,23.0638,0.2567,605.82,1972.01,0.0125
c9,gim,0.7,1,6.277,0.2396,152.42,297.17,0.0
c9,gim,0.7,2,9.7062,0.2459,193.58,380.77,0.0036
c9,gim,0.7,4,15.8962,0.2516,238.9,428.84,0.0046
c9,gim,0.7,8,21.2728,0.255,334.21,661.83,0.0101
c9,gim,0.7,16,26.0653,0.2568,552.82,1513.96,0.0138
mini_moka,gim,0.7,1,1.5655,0.2262,610.92,1167.52,0.0
mini_moka,gim,0.7,2,2.0273,0.2268,961.87,1327.51,0.002
mini_moka,gim,0.7,4,3.0658,0.2288,1135.77,4903.3,0.0076
mini_moka,gim,0.7,8,3.1093,0.2295,2438.33,4521.44,0.0086
mini_moka,gim,0.7,16,2.787,0.2297,5493.42,12266.74,0.007
moka,gim,0.7,1,1.0701,0.2261,897.36,1631.3,0.0
moka,gim,0.7,2,1.3411,0.2273,1435.43,2647.38,0.0004
moka,gim,0.7,4,1.7025,0.2285,1923.59,5620.68,0.0109
moka,gim,0.7,8,1.4806,0.229,4958.87,11814.88,0.0065
moka,gim,0.7,16,1.3604,0.2291,11383.24,19470.44,0.0098
c8,gim,1.0,1,9.2925,0.6901,101.86,203.62,0.0
c8,gim,1.0,2,11.314,0.694,153.66,348.46,0.0015
c8,gim,1.0,4,24.4453,0.6969,152.88,255.4,0.0086
c8,gim,1.0,8,37.0116,0.6986,193.83,356.8,0.0174
c8,gim,1.0,16,47.7366,0.6995,285.49,1087.48,0.0093
c9,gim,1.0,1,10.0345,0.6901,92.95,168.48,0.0
c9,gim,1.0,2,13.9647,0.6941,135.47,251.0,0.0075
c9,gim,1.0,4,23.9125,0.6969,154.62,301.58,0.0082
c9,gim,1.0,8,32.6937,0.6988,203.02,480.0,0.0076
c9,gim,1.0,16,38.5371,0.6995,381.51,985.55,0.0092
mini_moka,gim,1.0,1,2.1681,0.6884,411.48,1026.33,0.0
mini_moka,gim,1.0,2,2.8579,0.6899,671.62,973.27,0.0031
mini_moka,gim,1.0,4,5.766,0.6933,508.76,1658.51,0.0041
mini_moka,gim,1.0,8,6.0621,0.6951,1193.29,2736.68,0.0055
mini_moka,gim,1.0,16,5.7404,0.6955,2669.97,5228.12,0.0058
moka,gim,1.0,1,1.9271,0.6885,476.54,901.34,0.0
moka,gim,1.0,2,2.533,0.6906,751.57,1321.03,0.0041
moka,gim,1.0,4,3.7648,0.6939,799.52,3302.39,0.0074
moka,gim,1.0,8,3.5921,0.6946,1939.46,6540.09,0.007
moka,gim,1.0,16,3.2844,0.6949,4600.42,10272.09,0.0103
c8,gim,1.2,1,14.4743,0.9129,61.92,114.89,0.0
c8,gim,1.2,2,23.8757,0.915,78.94,126.48,0.0024
c8,gim,1.2,4,41.7764,0.9166,90.73,137.28,0.0147
c8,gim,1.2,8,64.9665,0.9178,119.37,175.44,0.0276
c8,gim,1.2,16,92.4826,0.9183,148.08,374.36,0.0211
c9,gim,1.2,1,16.2258,0.9129,59.15,112.02,0.0
c9,gim,1.2,2,20.2629,0.915,93.16,169.02,0.0037
c9,gim,1.2,4,27.718,0.9166,133.43,265.21,0.0058
c9,gim,1.2,8,17.5575,0.9177,423.93,870.35,0.0077
c9,gim,1.2,16,10.5738,0.9183,1519.97,2897.7,0.005
mini_moka,gim,1.2,1,3.3709,0.9133,281.07,456.62,0.0
mini_moka,gim,1.2,2,3.7456,0.9153,522.24,724.29,0.0005
mini_moka,gim,1.2,4,6.0149,0.917,656.92,970.59,0.0051
mini_moka,gim,1.2,8,8.3204,0.9184,885.23,1931.76,0.009
mini_moka,gim,1.2,16,9.9621,0.9182,1456.75,3841.1,0.0033
moka,gim,1.2,1,3.913,0.9136,240.86,459.52,0.0
moka,gim,1.2,2,4.8196,0.9153,393.82,682.56,0.0062
moka,gim,1.2,4,7.1129,0.917,442.94,1290.16,0.0082
moka,gim,1.2,8,10.6063,0.9161,629.03,2437.61,0.009
moka,gim,1.2,16,10.6501,0.9174,1369.86,4139.3,0.0048
c8,read-heavy,0.7,1,7.4373,0.2207,123.81,272.92,0.0
c8,read-heavy,0.7,2,12.4927,0.2293,150.67,284.13,0.004
c8,read-heavy,0.7,4,18.7752,0.2366,191.19,408.02,0.0113
c8,read-heavy,0.7,8,26.1332,0.2411,316.34,487.55,0.0244
c8,read-heavy,0.7,16,30.7731,0.2435,469.64,1361.06,0.0184
c9,read-heavy,0.7,1,7.2092,0.2207,126.47,310.83,0.0
c9,read-heavy,0.7,2,11.7306,0.229,158.4,314.02,0.0027
c9,read-heavy,0.7,4,18.9136,0.2366,193.9,390.66,0.0095
c9,read-heavy,0.7,8,25.7362,0.2412,265.17,590.03,0.0105
c9,read-heavy,0.7,16,27.4372,0.2436,514.68,1459.92,0.014
mini_moka,read-heavy,0.7,1,2.5719,0.2266,358.12,639.53,0.0
mini_moka,read-heavy,0.7,2,3.2549,0.2361,583.54,936.34,0.0011
mini_moka,read-heavy,0.7,4,5.307,0.2435,726.54,1138.12,0.0035
mini_moka,read-heavy,0.7,8,6.5935,0.2477,1182.94,1874.49,0.0084
mini_moka,read-heavy,0.7,16,7.1073,0.2485,1997.5,5535.35,0.0116
moka,read-heavy,0.7,1,2.4897,0.2264,373.1,750.32,0.0
moka,read-heavy,0.7,2,3.6041,0.2365,528.1,862.69,0.0013
moka,read-heavy,0.7,4,5.6513,0.2434,686.56,1133.98,0.0067
moka,read-heavy,0.7,8,6.6309,0.2469,1149.44,2013.15,0.0061
moka,read-heavy,0.7,16,8.8628,0.2444,1668.39,3786.28,0.0092
c8,read-heavy,1.0,1,9.7355,0.6485,96.0,211.8,0.0
c8,read-heavy,1.0,2,16.6575,0.6547,115.47,203.4,0.0032
c8,read-heavy,1.0,4,28.619,0.6594,133.13,236.18,0.0035
c8,read-heavy,1.0,8,41.6581,0.662,189.93,290.3,0.0206
c8,read-heavy,1.0,16,55.56,0.6629,247.62,874.47,0.0218
c9,read-heavy,1.0,1,9.1505,0.6485,99.26,261.36,0.0
c9,read-heavy,1.0,2,14.681,0.6548,128.63,238.82,0.0056
c9,read-heavy,1.0,4,24.2963,0.6596,153.92,290.07,0.0112
c9,read-heavy,1.0,8,32.0386,0.6627,209.8,534.5,0.0092
c9,read-heavy,1.0,16,37.4282,0.664,386.4,1102.96,0.0085
mini_moka,read-heavy,1.0,1,3.0577,0.6525,314.09,534.53,0.0
mini_moka,read-heavy,1.0,2,3.4278,0.6595,566.09,863.74,0.002
mini_moka,read-heavy,1.0,4,6.0097,0.6637,645.67,1033.28,0.0029
mini_moka,read-heavy,1.0,8,7.172,0.6672,1056.53,1885.49,0.0071
mini_moka,read-heavy,1.0,16,7.8219,0.6681,1882.39,4770.25,0.0069
moka,read-heavy,1.0,1,3.0988,0.6516,297.89,565.98,0.0
moka,read-heavy,1.0,2,4.2446,0.6592,458.1,759.93,0.004
moka,read-heavy,1.0,4,6.5618,0.6632,595.18,1102.85,0.0053
moka,read-heavy,1.0,8,7.1322,0.6662,1021.62,2035.07,0.0068
moka,read-heavy,1.0,16,9.5715,0.6672,1489.32,4023.3,0.008
c8,read-heavy,1.2,1,14.379,0.8609,64.62,131.25,0.0
c8,read-heavy,1.2,2,22.9171,0.8636,83.77,139.06,0.0018
c8,read-heavy,1.2,4,40.2187,0.8644,94.35,162.1,0.007
c8,read-heavy,1.2,8,63.229,0.8626,113.88,205.78,0.0191
c8,read-heavy,1.2,16,88.5401,0.8542,161.5,394.15,0.0145
c9,read-heavy,1.2,1,14.8532,0.8609,63.09,128.39,0.0
c9,read-heavy,1.2,2,18.56,0.8643,102.37,203.44,0.0059
c9,read-heavy,1.2,4,26.8684,0.8674,136.81,290.32,0.004
c9,read-heavy,1.2,8,16.9747,0.8701,446.19,883.75,0.0049
c9,read-heavy,1.2,16,9.6246,0.8716,1645.42,2503.55,0.003
mini_moka,read-heavy,1.2,1,3.5928,0.8592,264.55,480.31,0.0
mini_moka,read-heavy,1.2,2,3.8351,0.8644,506.64,793.89,0.0033
mini_moka,read-heavy,1.2,4,6.1218,0.8691,638.64,956.28,0.0022
mini_moka,read-heavy,1.2,8,6.5264,0.8719,1151.9,2197.63,0.006
mini_moka,read-heavy,1.2,16,6.6477,0.8734,2075.3,5814.77,0.0129
moka,read-heavy,1.2,1,4.3758,0.8592,215.33,381.88,0.0
