variant,trial,op_mix,skew,keys,threads,cap,shards,ops,total_elapsed_ns,aggregate_mops,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c8,0,gim,0.7,1000000,1,16384,256,4000000,805142059,4.9681,0.2396,191.31,363.61,0.0000
c8,1,gim,0.7,1000000,1,16384,256,4000000,844276877,4.7378,0.2396,195.33,408.48,0.0000
c8,2,gim,0.7,1000000,1,16384,256,4000000,804354824,4.9729,0.2396,189.45,397.14,0.0000
c9,0,gim,0.7,1000000,1,16384,256,4000000,634740218,6.3018,0.2396,150.24,297.17,0.0000
c9,1,gim,0.7,1000000,1,16384,256,4000000,673252483,5.9413,0.2396,156.70,337.83,0.0000
c9,2,gim,0.7,1000000,1,16384,256,4000000,637247057,6.2770,0.2396,152.42,276.97,0.0000
moka,0,gim,0.7,1000000,1,16384,0,4000000,3827728589,1.0450,0.2260,909.99,1631.30,0.0000
moka,1,gim,0.7,1000000,1,16384,0,4000000,3737852170,1.0701,0.2261,886.60,1874.83,0.0000
moka,2,gim,0.7,1000000,1,16384,0,4000000,3720553046,1.0751,0.2262,897.36,1556.65,0.0000
mini_moka,0,gim,0.7,1000000,1,16384,0,4000000,2555124854,1.5655,0.2262,610.92,1167.52,0.0000
mini_moka,1,gim,0.7,1000000,1,16384,0,4000000,2569069250,1.5570,0.2262,614.19,1209.02,0.0000
mini_moka,2,gim,0.7,1000000,1,16384,0,4000000,2544088447,1.5723,0.2260,609.85,1164.41,0.0000
c8,0,gim,0.7,1000000,2,16384,256,8000000,1023901461,7.8133,0.2461,245.35,452.79,0.0027
c8,1,gim,0.7,1000000,2,16384,256,8000000,1048871816,7.6272,0.2461,247.01,440.88,0.0003
c8,2,gim,0.7,1000000,2,16384,256,8000000,1050410796,7.6161,0.2459,248.37,446.83,0.0009
c9,0,gim,0.7,1000000,2,16384,256,8000000,843588412,9.4833,0.2459,195.73,380.77,0.0032
c9,1,gim,0.7,1000000,2,16384,256,8000000,824216571,9.7062,0.2457,193.58,389.69,0.0087
c9,2,gim,0.7,1000000,2,16384,256,8000000,804297321,9.9466,0.2460,191.38,367.33,0.0036
moka,0,gim,0.7,1000000,2,16384,0,8000000,5927681586,1.3496,0.2273,1423.96,2647.38,0.0002
moka,1,gim,0.7,1000000,2,16384,0,8000000,5967991607,1.3405,0.2273,1445.91,2497.71,0.0004
moka,2,gim,0.7,1000000,2,16384,0,8000000,5965206392,1.3411,0.2274,1435.43,2705.56,0.0018
mini_moka,0,gim,0.7,1000000,2,16384,0,8000000,3843731164,2.0813,0.2268,940.25,1304.84,0.0004
mini_moka,1,gim,0.7,1000000,2,16384,0,8000000,4059015626,1.9709,0.2268,987.21,1402.46,0.0026
mini_moka,2,gim,0.7,1000000,2,16384,0,8000000,3946061554,2.0273,0.2267,961.87,1327.51,0.0020
c8,0,gim,0.7,1000000,4,16384,256,16000000,1218583623,13.1300,0.2515,291.39,479.58,0.0062
c8,1,gim,0.7,1000000,4,16384,256,16000000,1213055002,13.1898,0.2515,290.84,476.77,0.0043
c8,2,gim,0.7,1000000,4,16384,256,16000000,1188903535,13.4578,0.2518,287.45,443.10,0.0030
c9,0,gim,0.7,1000000,4,16384,256,16000000,990943043,16.1462,0.2516,236.35,408.10,0.0046
c9,1,gim,0.7,1000000,4,16384,256,16000000,1037669995,15.4192,0.2519,244.05,434.91,0.0060
c9,2,gim,0.7,1000000,4,16384,256,16000000,1006530683,15.8962,0.2516,238.90,428.84,0.0023
moka,0,gim,0.7,1000000,4,16384,0,16000000,9389042413,1.7041,0.2285,1911.18,5588.21,0.0136
moka,1,gim,0.7,1000000,4,16384,0,16000000,9398149722,1.7025,0.2286,1923.59,5620.68,0.0040
moka,2,gim,0.7,1000000,4,16384,0,16000000,9693645648,1.6506,0.2283,1982.74,5803.25,0.0109
mini_moka,0,gim,0.7,1000000,4,16384,0,16000000,4782157733,3.3458,0.2289,1113.54,2246.03,0.0079
mini_moka,1,gim,0.7,1000000,4,16384,0,16000000,5218863063,3.0658,0.2286,1135.77,4970.84,0.0034
mini_moka,2,gim,0.7,1000000,4,16384,0,16000000,5288717484,3.0253,0.2288,1148.07,4903.30,0.0076
c8,0,gim,0.7,1000000,8,16384,256,32000000,1707353095,18.7425,0.2547,391.89,706.77,0.0084
c8,1,gim,0.7,1000000,8,16384,256,32000000,1683517247,19.0078,0.2546,387.55,685.39,0.0088
c8,2,gim,0.7,1000000,8,16384,256,32000000,1692702317,18.9047,0.2553,395.94,677.00,0.0066
c9,0,gim,0.7,1000000,8,16384,256,32000000,1504270549,21.2728,0.2553,335.40,663.11,0.0101
c9,1,gim,0.7,1000000,8,16384,256,32000000,1481784721,21.5956,0.2545,324.62,661.83,0.0054
c9,2,gim,0.7,1000000,8,16384,256,32000000,1506542651,21.2407,0.2550,334.21,661.78,0.0113
moka,0,gim,0.7,1000000,8,16384,0,32000000,21483039018,1.4895,0.2288,4846.38,13198.04,0.0058
moka,1,gim,0.7,1000000,8,16384,0,32000000,21829881147,1.4659,0.2290,4966.93,11814.88,0.0071
moka,2,gim,0.7,1000000,8,16384,0,32000000,21612265008,1.4806,0.2290,4958.87,11530.14,0.0065
mini_moka,0,gim,0.7,1000000,8,16384,0,32000000,10302547474,3.1060,0.2294,2415.32,5665.12,0.0095
mini_moka,1,gim,0.7,1000000,8,16384,0,32000000,10250111006,3.1219,0.2295,2438.33,4521.44,0.0086
mini_moka,2,gim,0.7,1000000,8,16384,0,32000000,10291588952,3.1093,0.2295,2470.01,4473.50,0.0066
c8,0,gim,0.7,1000000,16,16384,256,64000000,2774910017,23.0638,0.2567,608.17,2043.51,0.0106
c8,1,gim,0.7,1000000,16,16384,256,64000000,2778627489,23.0330,0.2569,605.82,1972.01,0.0125
c8,2,gim,0.7,1000000,16,16384,256,64000000,2623080516,24.3988,0.2567,586.32,1579.81,0.0129
c9,0,gim,0.7,1000000,16,16384,256,64000000,2640489611,24.2379,0.2568,565.61,2000.45,0.0138
c9,1,gim,0.7,1000000,16,16384,256,64000000,2452504076,26.0958,0.2567,545.63,1513.96,0.0144
c9,2,gim,0.7,1000000,16,16384,256,64000000,2455370741,26.0653,0.2568,552.82,1478.87,0.0132
moka,0,gim,0.7,1000000,16,16384,0,64000000,46211722226,1.3849,0.2290,11172.16,19148.93,0.0098
moka,1,gim,0.7,1000000,16,16384,0,64000000,47649457464,1.3431,0.2291,11458.60,20244.95,0.0109
moka,2,gim,0.7,1000000,16,16384,0,64000000,47044881164,1.3604,0.2291,11383.24,19470.44,0.0097
mini_moka,0,gim,0.7,1000000,16,16384,0,64000000,22963392867,2.7870,0.2293,5517.93,12266.74,0.0070
mini_moka,1,gim,0.7,1000000,16,16384,0,64000000,23019659062,2.7802,0.2297,5471.51,14144.28,0.0058
mini_moka,2,gim,0.7,1000000,16,16384,0,64000000,22759741789,2.8120,0.2297,5493.42,10945.17,0.0075
c8,0,gim,1,1000000,1,16384,256,4000000,430456692,9.2925,0.6901,101.86,206.80,0.0000
c8,1,gim,1,1000000,1,16384,256,4000000,414972141,9.6392,0.6901,100.72,155.66,0.0000
c8,2,gim,1,1000000,1,16384,256,4000000,444374489,9.0014,0.6901,104.13,203.62,0.0000
c9,0,gim,1,1000000,1,16384,256,4000000,398626582,10.0345,0.6901,92.97,168.48,0.0000
c9,1,gim,1,1000000,1,16384,256,4000000,401466358,9.9635,0.6901,92.95,180.26,0.0000
c9,2,gim,1,1000000,1,16384,256,4000000,385782067,10.3685,0.6901,92.12,162.33,0.0000
moka,0,gim,1,1000000,1,16384,0,4000000,2027686639,1.9727,0.6885,471.75,880.70,0.0000
moka,1,gim,1,1000000,1,16384,0,4000000,2075612516,1.9271,0.6882,486.13,901.34,0.0000
moka,2,gim,1,1000000,1,16384,0,4000000,2277736687,1.7561,0.6888,476.54,1551.26,0.0000
mini_moka,0,gim,1,1000000,1,16384,0,4000000,1844916743,2.1681,0.6884,400.48,1026.33,0.0000
mini_moka,1,gim,1,1000000,1,16384,0,4000000,1821314414,2.1962,0.6884,411.48,913.56,0.0000
mini_moka,2,gim,1,1000000,1,16384,0,4000000,2113559866,1.8925,0.6886,456.44,1110.48,0.0000
c8,0,gim,1,1000000,2,16384,256,8000000,574956731,13.9141,0.6940,136.75,244.13,0.0013
c8,1,gim,1,1000000,2,16384,256,8000000,921532830,8.6812,0.6940,191.07,735.10,0.0015
c8,2,gim,1,1000000,2,16384,256,8000000,707088378,11.3140,0.6942,153.66,348.46,0.0058
c9,0,gim,1,1000000,2,16384,256,8000000,572872442,13.9647,0.6939,135.47,251.00,0.0075
c9,1,gim,1,1000000,2,16384,256,8000000,537471896,14.8845,0.6941,125.94,231.41,0.0073
c9,2,gim,1,1000000,2,16384,256,8000000,678136994,11.7970,0.6943,141.31,376.06,0.0102
moka,0,gim,1,1000000,2,16384,0,8000000,3158357586,2.5330,0.6908,751.57,1300.05,0.0062
moka,1,gim,1,1000000,2,16384,0,8000000,3138547895,2.5489,0.6902,750.00,1321.03,0.0041
moka,2,gim,1,1000000,2,16384,0,8000000,3289332373,2.4321,0.6906,781.92,1459.11,0.0008
mini_moka,0,gim,1,1000000,2,16384,0,8000000,2799263326,2.8579,0.6899,671.62,973.27,0.0056
mini_moka,1,gim,1,1000000,2,16384,0,8000000,2751662095,2.9073,0.6899,669.86,916.33,0.0017
mini_moka,2,gim,1,1000000,2,16384,0,8000000,3218236502,2.4858,0.6880,705.61,2035.47,0.0031
c8,0,gim,1,1000000,4,16384,256,16000000,640663393,24.9741,0.6971,150.53,255.40,0.0086
c8,1,gim,1,1000000,4,16384,256,16000000,672163464,23.8037,0.6968,154.60,251.14,0.0288
c8,2,gim,1,1000000,4,16384,256,16000000,654523148,24.4453,0.6969,152.88,263.34,0.0069
c9,0,gim,1,1000000,4,16384,256,16000000,660807502,24.2128,0.6969,153.10,279.55,0.0082
c9,1,gim,1,1000000,4,16384,256,16000000,669107155,23.9125,0.6969,154.62,303.71,0.0080
c9,2,gim,1,1000000,4,16384,256,16000000,680681825,23.5058,0.6968,156.30,301.58,0.0088
moka,0,gim,1,1000000,4,16384,0,16000000,4249870315,3.7648,0.6939,799.52,3302.39,0.0081
moka,1,gim,1,1000000,4,16384,0,16000000,4235109170,3.7779,0.6940,795.66,3248.08,0.0074
moka,2,gim,1,1000000,4,16384,0,16000000,4691097164,3.4107,0.6932,823.40,5160.88,0.0051
mini_moka,0,gim,1,1000000,4,16384,0,16000000,2669157865,5.9944,0.6928,503.84,1383.38,0.0045
mini_moka,1,gim,1,1000000,4,16384,0,16000000,2774898455,5.7660,0.6937,508.76,1658.51,0.0041
mini_moka,2,gim,1,1000000,4,16384,0,16000000,2962240254,5.4013,0.6933,556.15,2124.85,0.0025
c8,0,gim,1,1000000,8,16384,256,32000000,868089073,36.8626,0.6987,193.83,350.74,0.0251
c8,1,gim,1,1000000,8,16384,256,32000000,864593988,37.0116,0.6986,194.72,358.17,0.0174
c8,2,gim,1,1000000,8,16384,256,32000000,852611602,37.5317,0.6986,188.21,356.80,0.0153
c9,0,gim,1,1000000,8,16384,256,32000000,962500281,33.2467,0.6988,202.97,480.00,0.0076
c9,1,gim,1,1000000,8,16384,256,32000000,983210604,32.5464,0.6988,204.25,479.83,0.0088
c9,2,gim,1,1000000,8,16384,256,32000000,978783209,32.6937,0.6985,203.02,496.08,0.0066
moka,0,gim,1,1000000,8,16384,0,32000000,9349706822,3.4226,0.6946,1986.36,7841.45,0.0043
moka,1,gim,1,1000000,8,16384,0,32000000,8894179351,3.5979,0.6946,1937.90,6540.09,0.0070
moka,2,gim,1,1000000,8,16384,0,32000000,8908524268,3.5921,0.6945,1939.46,6464.58,0.0071
mini_moka,0,gim,1,1000000,8,16384,0,32000000,5289863654,6.0493,0.6945,1197.11,2736.68,0.0055
mini_moka,1,gim,1,1000000,8,16384,0,32000000,5269813233,6.0723,0.6956,1192.03,2761.96,0.0037
mini_moka,2,gim,1,1000000,8,16384,0,32000000,5278726734,6.0621,0.6951,1193.29,2682.55,0.0083
c8,0,gim,1,1000000,16,16384,256,64000000,1340690630,47.7366,0.6995,282.46,1087.48,0.0112
c8,1,gim,1,1000000,16,16384,256,64000000,1313300877,48.7322,0.6996,285.49,863.43,0.0082
c8,2,gim,1,1000000,16,16384,256,64000000,1368494538,46.7667,0.6995,288.06,1278.41,0.0093
c9,0,gim,1,1000000,16,16384,256,64000000,1660736382,38.5371,0.6995,381.51,985.55,0.0092
c9,1,gim,1,1000000,16,16384,256,64000000,1668191248,38.3649,0.6994,383.12,978.24,0.0124
c9,2,gim,1,1000000,16,16384,256,64000000,1655204420,38.6659,0.6995,373.97,1092.65,0.0088
moka,0,gim,1,1000000,16,16384,0,64000000,19338888002,3.3094,0.6946,4560.39,10177.88,0.0103
moka,1,gim,1,1000000,16,16384,0,64000000,19666995117,3.2542,0.6949,4621.79,10440.55,0.0126
moka,2,gim,1,1000000,16,16384,0,64000000,19486121444,3.2844,0.6951,4600.42,10272.09,0.0091
mini_moka,0,gim,1,1000000,16,16384,0,64000000,11177582748,5.7257,0.6956,2677.47,5260.92,0.0056
mini_moka,1,gim,1,1000000,16,16384,0,64000000,11148999592,5.7404,0.6953,2669.97,5228.12,0.0073
mini_moka,2,gim,1,1000000,16,16384,0,64000000,11034021150,5.8002,0.6955,2652.07,5095.98,0.0058
c8,0,gim,1.2,1000000,1,16384,256,4000000,276352017,14.4743,0.9129,61.92,115.70,0.0000
c8,1,gim,1.2,1000000,1,16384,256,4000000,251563523,15.9006,0.9129,60.36,102.74,0.0000
c8,2,gim,1.2,1000000,1,16384,256,4000000,277372564,14.4210,0.9129,63.94,114.89,0.0000
c9,0,gim,1.2,1000000,1,16384,256,4000000,246520619,16.2258,0.9129,59.38,112.02,0.0000
c9,1,gim,1.2,1000000,1,16384,256,4000000,249626499,16.0239,0.9129,57.61,123.89,0.0000
c9,2,gim,1.2,1000000,1,16384,256,4000000,244908231,16.3326,0.9129,59.15,105.92,0.0000
moka,0,gim,1.2,1000000,1,16384,0,4000000,1022225181,3.9130,0.9139,240.86,459.52,0.0000
moka,1,gim,1.2,1000000,1,16384,0,4000000,1019534934,3.9234,0.9133,236.65,491.63,0.0000
moka,2,gim,1.2,1000000,1,16384,0,4000000,1042385540,3.8374,0.9136,244.53,441.14,0.0000
mini_moka,0,gim,1.2,1000000,1,16384,0,4000000,1148734165,3.4821,0.9133,276.27,420.50,0.0000
mini_moka,1,gim,1.2,1000000,1,16384,0,4000000,1186620473,3.3709,0.9129,281.96,456.62,0.0000
mini_moka,2,gim,1.2,1000000,1,16384,0,4000000,1203580756,3.3234,0.9134,281.07,479.29,0.0000
c8,0,gim,1.2,1000000,2,16384,256,8000000,351070825,22.7874,0.9150,82.20,140.29,0.0086
c8,1,gim,1.2,1000000,2,16384,256,8000000,320902811,24.9297,0.9150,78.34,121.11,0.0013
c8,2,gim,1.2,1000000,2,16384,256,8000000,335068543,23.8757,0.9149,78.94,126.48,0.0024
c9,0,gim,1.2,1000000,2,16384,256,8000000,394810283,20.2629,0.9150,92.96,169.02,0.0059
c9,1,gim,1.2,1000000,2,16384,256,8000000,386677854,20.6891,0.9150,93.16,169.65,0.0018
c9,2,gim,1.2,1000000,2,16384,256,8000000,395771233,20.2137,0.9149,93.40,164.87,0.0037
moka,0,gim,1.2,1000000,2,16384,0,8000000,1673485230,4.7804,0.9152,393.82,682.56,0.0205
moka,1,gim,1.2,1000000,2,16384,0,8000000,1659905107,4.8196,0.9153,397.36,682.77,0.0009
moka,2,gim,1.2,1000000,2,16384,0,8000000,1652461249,4.8413,0.9153,393.67,659.16,0.0062
mini_moka,0,gim,1.2,1000000,2,16384,0,8000000,2135811014,3.7456,0.9154,522.24,719.71,0.0005
mini_moka,1,gim,1.2,1000000,2,16384,0,8000000,2164667365,3.6957,0.9153,526.21,733.57,0.0004
mini_moka,2,gim,1.2,1000000,2,16384,0,8000000,2133209653,3.7502,0.9151,518.51,724.29,0.0016
c8,0,gim,1.2,1000000,4,16384,256,16000000,372019619,43.0085,0.9166,90.73,137.28,0.0012
c8,1,gim,1.2,1000000,4,16384,256,16000000,382991765,41.7764,0.9166,90.14,137.10,0.0147
c8,2,gim,1.2,1000000,4,16384,256,16000000,395180850,40.4878,0.9166,91.10,141.69,0.0233
c9,0,gim,1.2,1000000,4,16384,256,16000000,573243091,27.9114,0.9166,133.19,259.22,0.0058
c9,1,gim,1.2,1000000,4,16384,256,16000000,578285490,27.6680,0.9166,134.07,265.21,0.0037
c9,2,gim,1.2,1000000,4,16384,256,16000000,577242768,27.7180,0.9166,133.43,273.40,0.0077
moka,0,gim,1.2,1000000,4,16384,0,16000000,2249441715,7.1129,0.9165,442.94,1311.06,0.0086
moka,1,gim,1.2,1000000,4,16384,0,16000000,2265210201,7.0634,0.9176,449.09,1290.16,0.0077
moka,2,gim,1.2,1000000,4,16384,0,16000000,2199628500,7.2740,0.9170,433.73,1266.86,0.0082
mini_moka,0,gim,1.2,1000000,4,16384,0,16000000,2667366747,5.9984,0.9170,658.82,972.34,0.0051
mini_moka,1,gim,1.2,1000000,4,16384,0,16000000,2660070720,6.0149,0.9170,654.47,970.59,0.0128
mini_moka,2,gim,1.2,1000000,4,16384,0,16000000,2654333737,6.0279,0.9172,656.92,949.44,0.0047
c8,0,gim,1.2,1000000,8,16384,256,32000000,485276158,65.9418,0.9178,119.37,165.50,0.0249
c8,1,gim,1.2,1000000,8,16384,256,32000000,499127102,64.1119,0.9177,121.71,175.44,0.0333
c8,2,gim,1.2,1000000,8,16384,256,32000000,492561275,64.9665,0.9178,116.38,178.47,0.0276
c9,0,gim,1.2,1000000,8,16384,256,32000000,1819082647,17.5913,0.9177,423.66,870.35,0.0060
c9,1,gim,1.2,1000000,8,16384,256,32000000,1832044284,17.4668,0.9177,424.51,854.35,0.0077
c9,2,gim,1.2,1000000,8,16384,256,32000000,1822582020,17.5575,0.9176,423.93,902.07,0.0081
moka,0,gim,1.2,1000000,8,16384,0,32000000,3038228261,10.5325,0.9164,638.74,2437.61,0.0090
moka,1,gim,1.2,1000000,8,16384,0,32000000,2982505879,10.7292,0.9161,627.75,2487.76,0.0052
moka,2,gim,1.2,1000000,8,16384,0,32000000,3017067506,10.6063,0.9150,629.03,2430.06,0.0097
mini_moka,0,gim,1.2,1000000,8,16384,0,32000000,3979018628,8.0422,0.9183,916.69,2026.22,0.0047
mini_moka,1,gim,1.2,1000000,8,16384,0,32000000,3845987895,8.3204,0.9186,885.23,1925.41,0.0090
mini_moka,2,gim,1.2,1000000,8,16384,0,32000000,3834808434,8.3446,0.9184,881.61,1931.76,0.0131
c8,0,gim,1.2,1000000,16,16384,256,64000000,683113694,93.6887,0.9183,147.49,340.35,0.0214
c8,1,gim,1.2,1000000,16,16384,256,64000000,733660405,87.2338,0.9183,154.90,511.75,0.0211
c8,2,gim,1.2,1000000,16,16384,256,64000000,692021974,92.4826,0.9183,148.08,374.36,0.0152
c9,0,gim,1.2,1000000,16,16384,256,64000000,6280491161,10.1903,0.9183,1572.75,2504.49,0.0050
c9,1,gim,1.2,1000000,16,16384,256,64000000,6052721127,10.5738,0.9183,1519.97,2897.70,0.0044
c9,2,gim,1.2,1000000,16,16384,256,64000000,6004872184,10.6580,0.9183,1514.00,3258.15,0.0051
moka,0,gim,1.2,1000000,16,16384,0,64000000,6226348006,10.2789,0.9174,1376.69,5084.64,0.0052
moka,1,gim,1.2,1000000,16,16384,0,64000000,6009319832,10.6501,0.9166,1369.86,4139.30,0.0048
moka,2,gim,1.2,1000000,16,16384,0,64000000,5792673367,11.0484,0.9175,1327.95,3889.21,0.0044
mini_moka,0,gim,1.2,1000000,16,16384,0,64000000,6319966826,10.1266,0.9182,1456.75,3834.03,0.0051
mini_moka,1,gim,1.2,1000000,16,16384,0,64000000,6424332965,9.9621,0.9177,1475.36,3841.10,0.0030
mini_moka,2,gim,1.2,1000000,16,16384,0,64000000,6550440189,9.7703,0.9182,1430.02,5782.75,0.0033
c8,0,read-heavy,0.7,1000000,1,16384,256,4000000,572883589,6.9822,0.2207,124.09,292.17,0.0000
c8,1,read-heavy,0.7,1000000,1,16384,256,4000000,524603975,7.6248,0.2207,120.92,220.35,0.0000
c8,2,read-heavy,0.7,1000000,1,16384,256,4000000,537830391,7.4373,0.2207,123.81,272.92,0.0000
c9,0,read-heavy,0.7,1000000,1,16384,256,4000000,597230736,6.6976,0.2207,127.26,379.53,0.0000
c9,1,read-heavy,0.7,1000000,1,16384,256,4000000,554848193,7.2092,0.2207,126.47,310.83,0.0000
c9,2,read-heavy,0.7,1000000,1,16384,256,4000000,537381931,7.4435,0.2207,123.84,256.97,0.0000
moka,0,read-heavy,0.7,1000000,1,16384,0,4000000,1599241252,2.5012,0.2265,368.66,750.32,0.0000
moka,1,read-heavy,0.7,1000000,1,16384,0,4000000,1630555583,2.4532,0.2263,373.11,770.68,0.0000
moka,2,read-heavy,0.7,1000000,1,16384,0,4000000,1606622032,2.4897,0.2264,373.10,653.64,0.0000
mini_moka,0,read-heavy,0.7,1000000,1,16384,0,4000000,1555276946,2.5719,0.2263,360.80,639.53,0.0000
mini_moka,1,read-heavy,0.7,1000000,1,16384,0,4000000,1563975521,2.5576,0.2266,355.69,703.62,0.0000
