variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,arc,NaN,0,10000000,100000,378091905,5297182,4702818,4602818
orig,arc,NaN,0,10000000,400000,365180204,8473224,1526776,1126776
orig,arc,NaN,0,10000000,1000000,377718395,9268877,731123,0
senba,arc,NaN,0,10000000,100000,340150567,5567885,4432115,4332115
senba,arc,NaN,0,10000000,400000,516674418,8661364,1338636,938636
senba,arc,NaN,0,10000000,1000000,578532290,9268852,731148,406
mini_moka_unsync,arc,NaN,0,10000000,100000,1178506583,5834497,4165503,0
mini_moka_unsync,arc,NaN,0,10000000,400000,1373560469,8455717,1544283,0
mini_moka_unsync,arc,NaN,0,10000000,1000000,1378102109,9268877,731123,0
mini_moka_sync,arc,NaN,0,10000000,100000,5091430293,5834497,4165503,0
mini_moka_sync,arc,NaN,0,10000000,400000,4675419599,8455717,1544283,0
