variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,arc,NaN,0,10000000,100000,688000957,309872,9690128,9590128
orig,arc,NaN,0,10000000,500000,1317196056,475178,9524822,9024822
orig,arc,NaN,0,10000000,1000000,1425378557,537562,9462438,8462438
senba,arc,NaN,0,10000000,100000,469865081,283079,9716921,9616921
senba,arc,NaN,0,10000000,500000,935229451,476894,9523106,9023106
senba,arc,NaN,0,10000000,1000000,1101873299,538957,9461043,8461043
mini_moka_unsync,arc,NaN,0,10000000,100000,1682027091,105893,9894107,0
mini_moka_unsync,arc,NaN,0,10000000,500000,2125232839,572247,9427753,0
mini_moka_unsync,arc,NaN,0,10000000,1000000,2498985722,1236883,8763117,0
mini_moka_sync,arc,NaN,0,10000000,100000,6162118203,105893,9894107,0
