variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,arc,NaN,0,10000000,100000,713219616,958672,9041328,8941328
orig,arc,NaN,0,10000000,400000,1022990885,2109222,7890778,7490778
orig,arc,NaN,0,10000000,1000000,1042760182,3673590,6326410,5326410
senba,arc,NaN,0,10000000,100000,406194216,1045759,8954241,8854241
senba,arc,NaN,0,10000000,400000,847845242,2157422,7842578,7442578
senba,arc,NaN,0,10000000,1000000,1119985410,3695939,6304061,5304061
mini_moka_unsync,arc,NaN,0,10000000,100000,1656753646,814671,9185329,0
mini_moka_unsync,arc,NaN,0,10000000,400000,1990867797,1647567,8352433,0
mini_moka_unsync,arc,NaN,0,10000000,1000000,2424044843,3172620,6827380,0
mini_moka_sync,arc,NaN,0,10000000,100000,5936301167,814671,9185329,0
