variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,arc,NaN,0,914145,256,37285770,113745,800400,800144
orig,arc,NaN,0,914145,512,32384935,190988,723157,722645
orig,arc,NaN,0,914145,1000,29683121,297626,616519,615519
orig,arc,NaN,0,914145,2000,29808566,376497,537648,535648
orig,arc,NaN,0,914145,4000,29605744,444740,469405,465405
orig,arc,NaN,0,914145,8000,25955788,526913,387232,379232
senba,arc,NaN,0,914145,256,29365834,159169,754976,754720
senba,arc,NaN,0,914145,512,29364961,267759,646386,645874
senba,arc,NaN,0,914145,1000,32905826,349610,564535,563535
senba,arc,NaN,0,914145,2000,29319647,414539,499606,497606
senba,arc,NaN,0,914145,4000,28260426,472416,441729,437729
senba,arc,NaN,0,914145,8000,27799224,544322,369823,361823
mini_moka_unsync,arc,NaN,0,914145,256,65523495,193385,720760,0
mini_moka_unsync,arc,NaN,0,914145,512,60967223,258057,656088,0
mini_moka_unsync,arc,NaN,0,914145,1000,59199551,312757,601388,0
mini_moka_unsync,arc,NaN,0,914145,2000,64995491,364267,549878,0
mini_moka_unsync,arc,NaN,0,914145,4000,65376857,417151,496994,0
mini_moka_unsync,arc,NaN,0,914145,8000,64634775,475631,438514,0
mini_moka_sync,arc,NaN,0,914145,256,443077526,193385,720760,0
mini_moka_sync,arc,NaN,0,914145,512,443115612,258057,656088,0
mini_moka_sync,arc,NaN,0,914145,1000,419007386,312757,601388,0
mini_moka_sync,arc,NaN,0,914145,2000,395974657,364267,549878,0
mini_moka_sync,arc,NaN,0,914145,4000,389101345,417151,496994,0
mini_moka_sync,arc,NaN,0,914145,8000,385434843,475631,438514,0
moka,arc,NaN,0,914145,256,766494455,193330,720815,0
moka,arc,NaN,0,914145,512,732743257,258601,655544,0
moka,arc,NaN,0,914145,1000,685999225,313252,600893,0
moka,arc,NaN,0,914145,2000,715902913,364214,549931,0
moka,arc,NaN,0,914145,4000,757683218,418332,495813,0
moka,arc,NaN,0,914145,8000,731829552,476200,437945,0
