variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,arc,NaN,0,3912296,5000,287041990,79751,3832545,3827545
orig,arc,NaN,0,3912296,20000,219991007,226884,3685412,3665412
orig,arc,NaN,0,3912296,32000,231498283,378802,3533494,3501494
senba,arc,NaN,0,3912296,5000,130079848,88107,3824189,3819189
senba,arc,NaN,0,3912296,20000,126946261,232055,3680241,3660241
senba,arc,NaN,0,3912296,32000,134050317,382995,3529301,3497301
mini_moka_unsync,arc,NaN,0,3912296,5000,384754630,44302,3867994,0
mini_moka_unsync,arc,NaN,0,3912296,20000,525847529,461326,3450970,0
mini_moka_unsync,arc,NaN,0,3912296,32000,572703830,717598,3194698,0
mini_moka_sync,arc,NaN,0,3912296,5000,2299983955,44302,3867994,0
mini_moka_sync,arc,NaN,0,3912296,20000,2304424715,461326,3450970,0
mini_moka_sync,arc,NaN,0,3912296,32000,2148924996,717598,3194698,0
moka,arc,NaN,0,3912296,5000,3958949670,43988,3868308,0
moka,arc,NaN,0,3912296,20000,4450025867,455172,3457124,0
moka,arc,NaN,0,3912296,32000,4544418403,710303,3201993,0
