variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,arc,NaN,0,16407702,100000,1366644794,1661024,14746678,14646678
orig,arc,NaN,0,16407702,400000,1950246762,4817412,11590290,11190290
senba,arc,NaN,0,16407702,100000,799716133,1655296,14752406,14652406
senba,arc,NaN,0,16407702,400000,1649495474,4971841,11435861,11035861
mini_moka_unsync,arc,NaN,0,16407702,100000,2781196850,1712620,14695082,0
mini_moka_unsync,arc,NaN,0,16407702,400000,3329278085,6992045,9415657,0
mini_moka_sync,arc,NaN,0,16407702,100000,9757590154,1712620,14695082,0
mini_moka_sync,arc,NaN,0,16407702,400000,10128814272,6992045,9415657,0
moka,arc,NaN,0,16407702,100000,26262928162,1698944,14708758,0
moka,arc,NaN,0,16407702,400000,25614254115,6974036,9433666,0
