variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1,100000,1000000,256,35809867,488876,511124,510868
orig,zipf,1,100000,1000000,1024,22361874,598348,401652,400628
orig,zipf,1,100000,1000000,4096,22595005,705635,294365,290269
orig,zipf,1,100000,1000000,16384,16906338,814191,185809,169425
orig,zipf,1,100000,1000000,32768,15290861,867414,132586,99818
senba,zipf,1,100000,1000000,256,33159616,488101,511899,511643
senba,zipf,1,100000,1000000,1024,30757660,599404,400596,399572
senba,zipf,1,100000,1000000,4096,23100144,708367,291633,287537
senba,zipf,1,100000,1000000,16384,20101655,813665,186335,169951
senba,zipf,1,100000,1000000,32768,24449998,866782,133218,100450
mini_moka_unsync,zipf,1,100000,1000000,256,60327660,467765,532235,0
mini_moka_unsync,zipf,1,100000,1000000,1024,61226360,589857,410143,0
mini_moka_unsync,zipf,1,100000,1000000,4096,63318996,708364,291636,0
mini_moka_unsync,zipf,1,100000,1000000,16384,64044871,816276,183724,0
mini_moka_unsync,zipf,1,100000,1000000,32768,77804635,865954,134046,0
mini_moka_sync,zipf,1,100000,1000000,256,462225227,467765,532235,0
mini_moka_sync,zipf,1,100000,1000000,1024,416642634,589857,410143,0
mini_moka_sync,zipf,1,100000,1000000,4096,384545611,708364,291636,0
mini_moka_sync,zipf,1,100000,1000000,16384,407138909,816276,183724,0
mini_moka_sync,zipf,1,100000,1000000,32768,389089410,865954,134046,0
moka,zipf,1,100000,1000000,256,681909102,467874,532126,0
moka,zipf,1,100000,1000000,1024,652135915,588270,411730,0
moka,zipf,1,100000,1000000,4096,617851792,708232,291768,0
moka,zipf,1,100000,1000000,16384,669951059,816844,183156,0
moka,zipf,1,100000,1000000,32768,686933428,866071,133929,0
