variant,trial,workload,op_mix,skew,keys,threads,cap,ops,total_elapsed_ns,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c8,0,zipf,read-only,0.7,100000,1,64,1000000,51897306,19.2688,19.2688,0.0729,50.50,78.43,0.0000
c8,0,zipf,read-only,0.7,100000,2,64,2000000,58445494,34.2199,17.1100,0.0680,55.26,110.72,0.0160
c8,0,zipf,read-only,0.7,100000,4,64,4000000,63615510,62.8777,15.7194,0.0715,60.77,114.26,0.0060
c8,0,zipf,read-only,0.7,100000,8,64,8000000,102178584,78.2943,9.7868,0.0725,80.60,197.40,0.0617
c8,0,zipf,read-only,0.7,100000,16,64,16000000,183562357,87.1638,5.4477,0.0745,132.29,330.40,0.0994
c8,0,zipf,read-only,1,100000,1,64,1000000,58221466,17.1758,17.1758,0.3706,55.44,106.80,0.0000
c8,0,zipf,read-only,1,100000,2,64,2000000,79048838,25.3008,12.6504,0.3776,75.75,146.21,0.0015
c8,0,zipf,read-only,1,100000,4,64,4000000,120344363,33.2380,8.3095,0.3766,117.12,223.21,0.0090
c8,0,zipf,read-only,1,100000,8,64,8000000,197641714,40.4773,5.0597,0.3784,191.12,340.09,0.0075
c8,0,zipf,read-only,1,100000,16,64,16000000,361349670,44.2784,2.7674,0.3769,281.06,1141.16,0.0614
c8,0,zipf,read-only,1.2,100000,1,64,1000000,56130516,17.8156,17.8156,0.6607,54.97,76.15,0.0000
c8,0,zipf,read-only,1.2,100000,2,64,2000000,95721222,20.8940,10.4470,0.6504,94.58,139.55,0.0064
c8,0,zipf,read-only,1.2,100000,4,64,4000000,152694749,26.1961,6.5490,0.6515,152.32,209.43,0.0132
c8,0,zipf,read-only,1.2,100000,8,64,8000000,264539425,30.2412,3.7802,0.6598,253.13,425.58,0.0120
c8,0,zipf,read-only,1.2,100000,16,64,16000000,449658828,35.5825,2.2239,0.6595,348.84,1616.16,0.0711
c8,0,adversarial-hot,read-only,1,1,1,64,1000000,13530713,73.9059,73.9059,1.0000,13.38,19.28,0.0000
c8,0,adversarial-hot,read-only,1,1,2,64,2000000,67404443,29.6716,14.8358,1.0000,70.40,112.67,0.0058
c8,0,adversarial-hot,read-only,1,1,4,64,4000000,136688659,29.2636,7.3159,1.0000,122.43,294.18,0.0460
c8,0,adversarial-hot,read-only,1,1,8,64,8000000,233930293,34.1982,4.2748,1.0000,201.86,483.75,0.0737
