variant,op_mix,workload_label,threads,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,cv
c10s,gim,adversarial-hot,1,73.9222,73.9222,1.0,13.33,19.15,0.0
c10s,gim,adversarial-hot,2,48.9858,24.4929,1.0,40.67,54.27,0.0112
c10s,gim,adversarial-hot,4,42.0693,10.5173,1.0,92.05,135.39,0.0243
c10s,gim,adversarial-hot,8,40.9269,5.1159,1.0,143.15,629.58,0.1019
c10s,gim,adversarial-hot,16,52.9503,3.3094,1.0,208.84,963.86,0.1866
c8,gim,adversarial-hot,1,73.6127,73.6127,1.0,13.33,18.97,0.0
c8,gim,adversarial-hot,2,32.6188,16.3094,1.0,69.06,111.47,0.0193
c8,gim,adversarial-hot,4,31.6872,7.9218,1.0,122.98,172.65,0.0083
c8,gim,adversarial-hot,8,33.4721,4.184,1.0,207.91,601.02,0.0544
c8,gim,adversarial-hot,16,31.8103,1.9881,1.0,395.28,1441.82,0.1077
c9,gim,adversarial-hot,1,54.5836,54.5836,1.0,17.96,27.71,0.0
c9,gim,adversarial-hot,2,27.4431,13.7215,1.0,69.67,132.5,0.0031
c9,gim,adversarial-hot,4,15.8896,3.9724,1.0,242.74,634.93,0.0161
c9,gim,adversarial-hot,8,8.8238,1.103,1.0,859.9,1934.85,0.0126
c9,gim,adversarial-hot,16,5.2507,0.3282,1.0,2998.12,5248.74,0.0033
c10s,gim,uniform,1,11.1764,11.1764,0.0,89.27,110.23,0.0
c10s,gim,uniform,2,7.0253,3.5126,0.0,280.05,488.63,0.0017
c10s,gim,uniform,4,4.405,1.1012,0.0,904.28,1410.53,0.0152
c10s,gim,uniform,8,2.5573,0.3197,0.0,3099.43,4622.01,0.0064
c10s,gim,uniform,16,1.6783,0.1049,0.0,9495.49,12557.51,0.0017
c8,gim,uniform,1,13.7504,13.7504,0.0,72.16,88.22,0.0
c8,gim,uniform,2,8.6605,4.3303,0.0,193.45,569.56,0.0464
c8,gim,uniform,4,5.132,1.283,0.0,777.89,1178.95,0.0143
c8,gim,uniform,8,2.9377,0.3672,0.0,2706.69,4059.02,0.0108
c8,gim,uniform,16,1.8566,0.116,0.0,8612.0,11289.63,0.0023
c9,gim,uniform,1,24.3378,24.3378,0.0,40.04,54.54,0.0
c9,gim,uniform,2,12.4424,6.2212,0.0,162.6,264.27,0.0168
c9,gim,uniform,4,6.9432,1.7358,0.0,551.2,1079.37,0.0215
c9,gim,uniform,8,3.6719,0.459,0.0,2129.41,3659.98,0.016
c9,gim,uniform,16,2.0698,0.1294,0.0,7688.4,11464.59,0.0036
c10s,gim,zipf-0.7,1,7.2415,7.2415,0.0748,136.03,197.91,0.0
c10s,gim,zipf-0.7,2,5.5607,2.7804,0.0789,351.28,568.6,0.0057
c10s,gim,zipf-0.7,4,3.3298,0.8325,0.0773,1198.23,1723.81,0.0036
c10s,gim,zipf-0.7,8,1.9763,0.247,0.076,4009.5,5706.12,0.0026
c10s,gim,zipf-0.7,16,1.3922,0.087,0.0768,11450.38,14319.0,0.0023
c8,gim,zipf-0.7,1,7.6035,7.6035,0.0748,127.19,187.08,0.0
c8,gim,zipf-0.7,2,6.3199,3.16,0.078,308.76,478.32,0.0073
c8,gim,zipf-0.7,4,3.9853,0.9963,0.0748,989.4,1633.68,0.0145
c8,gim,zipf-0.7,8,2.1918,0.274,0.0766,3628.0,5162.28,0.0057
c8,gim,zipf-0.7,16,1.525,0.0953,0.0764,10473.32,13434.98,0.0043
c9,gim,zipf-0.7,1,11.8485,11.8485,0.0748,81.03,139.08,0.0
c9,gim,zipf-0.7,2,7.493,3.7465,0.0747,261.69,394.6,0.005
c9,gim,zipf-0.7,4,4.0865,1.0216,0.0754,975.55,1361.92,0.0075
c9,gim,zipf-0.7,8,1.9934,0.2492,0.0754,4010.33,5615.27,0.0033
c9,gim,zipf-0.7,16,1.2166,0.076,0.0765,13161.42,16308.5,0.0032
c10s,gim,zipf-1.0,1,8.7681,8.7681,0.376,110.87,208.87,0.0
c10s,gim,zipf-1.0,2,7.1317,3.5658,0.3762,275.31,425.24,0.0086
