config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
after,1,twitter,cluster006,32,32,senba_n32,1000000,1024,29940373,131317,868683,867659
after,2,twitter,cluster006,32,32,senba_n32,1000000,1024,28462367,131317,868683,867659
after,3,twitter,cluster006,32,32,senba_n32,1000000,1024,29859817,131317,868683,867659
after,1,twitter-string,cluster006,32,32,senba_n32,1000000,1024,66368695,131146,868854,867830
after,2,twitter-string,cluster006,32,32,senba_n32,1000000,1024,62522354,131146,868854,867830
after,3,twitter-string,cluster006,32,32,senba_n32,1000000,1024,66928404,131146,868854,867830
after,1,twitter,cluster006,64,16,senba_n16,1000000,1024,33819653,131811,868189,867165
after,2,twitter,cluster006,64,16,senba_n16,1000000,1024,32726895,131811,868189,867165
after,3,twitter,cluster006,64,16,senba_n16,1000000,1024,34105686,131811,868189,867165
after,1,twitter-string,cluster006,64,16,senba_n16,1000000,1024,69824621,131317,868683,867659
after,2,twitter-string,cluster006,64,16,senba_n16,1000000,1024,68738411,131317,868683,867659
after,3,twitter-string,cluster006,64,16,senba_n16,1000000,1024,65226091,131317,868683,867659
after,1,twitter,cluster006,32,128,senba_n128,1000000,4096,30691048,351809,648191,644095
after,2,twitter,cluster006,32,128,senba_n128,1000000,4096,29339059,351809,648191,644095
after,3,twitter,cluster006,32,128,senba_n128,1000000,4096,29006860,351809,648191,644095
after,1,twitter-string,cluster006,32,128,senba_n128,1000000,4096,62526890,352134,647866,643770
after,2,twitter-string,cluster006,32,128,senba_n128,1000000,4096,63986397,352134,647866,643770
after,3,twitter-string,cluster006,32,128,senba_n128,1000000,4096,61954771,352134,647866,643770
after,1,twitter,cluster006,64,64,senba_n64,1000000,4096,32697930,352933,647067,642971
after,2,twitter,cluster006,64,64,senba_n64,1000000,4096,30569069,352933,647067,642971
after,3,twitter,cluster006,64,64,senba_n64,1000000,4096,32408535,352933,647067,642971
after,1,twitter-string,cluster006,64,64,senba_n64,1000000,4096,62054408,353086,646914,642818
after,2,twitter-string,cluster006,64,64,senba_n64,1000000,4096,63236398,353086,646914,642818
after,3,twitter-string,cluster006,64,64,senba_n64,1000000,4096,64945960,353086,646914,642818
after,1,twitter,cluster006,32,512,senba_n512,1000000,16384,26695173,638399,361601,345217
after,2,twitter,cluster006,32,512,senba_n512,1000000,16384,26292375,638399,361601,345217
after,3,twitter,cluster006,32,512,senba_n512,1000000,16384,26374030,638399,361601,345217
after,1,twitter-string,cluster006,32,512,senba_n512,1000000,16384,65451252,637576,362424,346040
after,2,twitter-string,cluster006,32,512,senba_n512,1000000,16384,71903328,637576,362424,346040
after,3,twitter-string,cluster006,32,512,senba_n512,1000000,16384,68511551,637576,362424,346040
after,1,twitter,cluster006,64,256,senba_n256,1000000,16384,30406643,641770,358230,341846
after,2,twitter,cluster006,64,256,senba_n256,1000000,16384,28474563,641770,358230,341846
after,3,twitter,cluster006,64,256,senba_n256,1000000,16384,29348424,641770,358230,341846
after,1,twitter-string,cluster006,64,256,senba_n256,1000000,16384,67287041,641351,358649,342265
after,2,twitter-string,cluster006,64,256,senba_n256,1000000,16384,70046113,641351,358649,342265
after,3,twitter-string,cluster006,64,256,senba_n256,1000000,16384,66964212,641351,358649,342265
after,1,twitter,cluster016,32,32,senba_n32,1000000,1024,28991921,370592,629408,628384
after,2,twitter,cluster016,32,32,senba_n32,1000000,1024,29132198,370592,629408,628384
