config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
before,1,twitter,cluster006,32,32,senba_n32,1000000,1024,28912339,131317,868683,867659
before,2,twitter,cluster006,32,32,senba_n32,1000000,1024,29756242,131317,868683,867659
before,3,twitter,cluster006,32,32,senba_n32,1000000,1024,29557589,131317,868683,867659
before,1,twitter-string,cluster006,32,32,senba_n32,1000000,1024,65342824,131146,868854,867830
before,2,twitter-string,cluster006,32,32,senba_n32,1000000,1024,66327178,131146,868854,867830
before,3,twitter-string,cluster006,32,32,senba_n32,1000000,1024,62821073,131146,868854,867830
before,1,twitter,cluster006,64,16,senba_n16,1000000,1024,33241452,131811,868189,867165
before,2,twitter,cluster006,64,16,senba_n16,1000000,1024,32443312,131811,868189,867165
before,3,twitter,cluster006,64,16,senba_n16,1000000,1024,31534530,131811,868189,867165
before,1,twitter-string,cluster006,64,16,senba_n16,1000000,1024,68793366,131317,868683,867659
before,2,twitter-string,cluster006,64,16,senba_n16,1000000,1024,69783630,131317,868683,867659
before,3,twitter-string,cluster006,64,16,senba_n16,1000000,1024,65905722,131317,868683,867659
before,1,twitter,cluster006,32,128,senba_n128,1000000,4096,27739268,351809,648191,644095
before,2,twitter,cluster006,32,128,senba_n128,1000000,4096,29176860,351809,648191,644095
before,3,twitter,cluster006,32,128,senba_n128,1000000,4096,29377633,351809,648191,644095
before,1,twitter-string,cluster006,32,128,senba_n128,1000000,4096,60234794,352134,647866,643770
before,2,twitter-string,cluster006,32,128,senba_n128,1000000,4096,60907043,352134,647866,643770
before,3,twitter-string,cluster006,32,128,senba_n128,1000000,4096,62282085,352134,647866,643770
before,1,twitter,cluster006,64,64,senba_n64,1000000,4096,31084563,352933,647067,642971
before,2,twitter,cluster006,64,64,senba_n64,1000000,4096,30954372,352933,647067,642971
before,3,twitter,cluster006,64,64,senba_n64,1000000,4096,31832625,352933,647067,642971
before,1,twitter-string,cluster006,64,64,senba_n64,1000000,4096,65779766,353086,646914,642818
before,2,twitter-string,cluster006,64,64,senba_n64,1000000,4096,64486874,353086,646914,642818
before,3,twitter-string,cluster006,64,64,senba_n64,1000000,4096,63510131,353086,646914,642818
before,1,twitter,cluster006,32,512,senba_n512,1000000,16384,24887098,638399,361601,345217
before,2,twitter,cluster006,32,512,senba_n512,1000000,16384,25398260,638399,361601,345217
before,3,twitter,cluster006,32,512,senba_n512,1000000,16384,27073214,638399,361601,345217
before,1,twitter-string,cluster006,32,512,senba_n512,1000000,16384,66795262,637576,362424,346040
before,2,twitter-string,cluster006,32,512,senba_n512,1000000,16384,65322630,637576,362424,346040
before,3,twitter-string,cluster006,32,512,senba_n512,1000000,16384,65095007,637576,362424,346040
before,1,twitter,cluster006,64,256,senba_n256,1000000,16384,30197509,641770,358230,341846
before,2,twitter,cluster006,64,256,senba_n256,1000000,16384,28551265,641770,358230,341846
before,3,twitter,cluster006,64,256,senba_n256,1000000,16384,27804745,641770,358230,341846
before,1,twitter-string,cluster006,64,256,senba_n256,1000000,16384,70936690,641351,358649,342265
before,2,twitter-string,cluster006,64,256,senba_n256,1000000,16384,69095976,641351,358649,342265
before,3,twitter-string,cluster006,64,256,senba_n256,1000000,16384,70190112,641351,358649,342265
before,1,twitter,cluster016,32,32,senba_n32,1000000,1024,28732794,370592,629408,628384
before,2,twitter,cluster016,32,32,senba_n32,1000000,1024,27680617,370592,629408,628384
before,3,twitter,cluster016,32,32,senba_n32,1000000,1024,27810803,370592,629408,628384
before,1,twitter-string,cluster016,32,32,senba_n32,1000000,1024,50919961,370708,629292,628268
before,2,twitter-string,cluster016,32,32,senba_n32,1000000,1024,53010858,370708,629292,628268
before,3,twitter-string,cluster016,32,32,senba_n32,1000000,1024,55652118,370708,629292,628268
before,1,twitter,cluster016,64,16,senba_n16,1000000,1024,31270129,368891,631109,630085
