config,trial,workload,skew,cluster_or_preset,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
before,1,ds1,,ds1,,,senba,43704979,1000000,3858390918,2662294,41042685,40042685
before,1,ds1,,ds1,,,senba,43704979,4000000,5364402526,17056843,26648136,22648136
before,1,ds1,,ds1,,,senba,43704979,8000000,5638629077,27356137,16348842,8353715
after,1,ds1,,ds1,,,senba,43704979,1000000,3613332333,2662294,41042685,40042685
after,1,ds1,,ds1,,,senba,43704979,4000000,5640034726,17056843,26648136,22648136
after,1,ds1,,ds1,,,senba,43704979,8000000,5528048500,27356137,16348842,8353715
before,2,ds1,,ds1,,,senba,43704979,1000000,3785053610,2662294,41042685,40042685
before,2,ds1,,ds1,,,senba,43704979,4000000,5651486298,17056843,26648136,22648136
before,2,ds1,,ds1,,,senba,43704979,8000000,5675168754,27356137,16348842,8353715
after,2,ds1,,ds1,,,senba,43704979,1000000,3849829525,2662294,41042685,40042685
after,2,ds1,,ds1,,,senba,43704979,4000000,5515780620,17056843,26648136,22648136
after,2,ds1,,ds1,,,senba,43704979,8000000,5811836539,27356137,16348842,8353715
before,3,ds1,,ds1,,,senba,43704979,1000000,3692139190,2662294,41042685,40042685
before,3,ds1,,ds1,,,senba,43704979,4000000,5511145358,17056843,26648136,22648136
before,3,ds1,,ds1,,,senba,43704979,8000000,5482208940,27356137,16348842,8353715
after,3,ds1,,ds1,,,senba,43704979,1000000,3574732300,2662294,41042685,40042685
after,3,ds1,,ds1,,,senba,43704979,4000000,5296998204,17056843,26648136,22648136
after,3,ds1,,ds1,,,senba,43704979,8000000,5501026620,27356137,16348842,8353715
before,4,ds1,,ds1,,,senba,43704979,1000000,3660184005,2662294,41042685,40042685
before,4,ds1,,ds1,,,senba,43704979,4000000,5452969137,17056843,26648136,22648136
before,4,ds1,,ds1,,,senba,43704979,8000000,5856673161,27356137,16348842,8353715
after,4,ds1,,ds1,,,senba,43704979,1000000,3591390248,2662294,41042685,40042685
after,4,ds1,,ds1,,,senba,43704979,4000000,5157259708,17056843,26648136,22648136
after,4,ds1,,ds1,,,senba,43704979,8000000,5506363411,27356137,16348842,8353715
before,5,ds1,,ds1,,,senba,43704979,1000000,3551987744,2662294,41042685,40042685
before,5,ds1,,ds1,,,senba,43704979,4000000,5363048035,17056843,26648136,22648136
before,5,ds1,,ds1,,,senba,43704979,8000000,5554341947,27356137,16348842,8353715
after,5,ds1,,ds1,,,senba,43704979,1000000,3499304471,2662294,41042685,40042685
after,5,ds1,,ds1,,,senba,43704979,4000000,5202103523,17056843,26648136,22648136
after,5,ds1,,ds1,,,senba,43704979,8000000,5417261114,27356137,16348842,8353715
before,6,ds1,,ds1,,,senba,43704979,1000000,3780660585,2662294,41042685,40042685
before,6,ds1,,ds1,,,senba,43704979,4000000,5258470914,17056843,26648136,22648136
before,6,ds1,,ds1,,,senba,43704979,8000000,5505060842,27356137,16348842,8353715
after,6,ds1,,ds1,,,senba,43704979,1000000,3548528984,2662294,41042685,40042685
after,6,ds1,,ds1,,,senba,43704979,4000000,5270996226,17056843,26648136,22648136
after,6,ds1,,ds1,,,senba,43704979,8000000,5378921273,27356137,16348842,8353715
before,7,ds1,,ds1,,,senba,43704979,1000000,3692844845,2662294,41042685,40042685
before,7,ds1,,ds1,,,senba,43704979,4000000,5249105819,17056843,26648136,22648136
before,7,ds1,,ds1,,,senba,43704979,8000000,5511649100,27356137,16348842,8353715
after,7,ds1,,ds1,,,senba,43704979,1000000,3543142100,2662294,41042685,40042685
after,7,ds1,,ds1,,,senba,43704979,4000000,5262974396,17056843,26648136,22648136
after,7,ds1,,ds1,,,senba,43704979,8000000,5389659703,27356137,16348842,8353715
before,8,ds1,,ds1,,,senba,43704979,1000000,3790878993,2662294,41042685,40042685
before,8,ds1,,ds1,,,senba,43704979,4000000,5273756204,17056843,26648136,22648136
before,8,ds1,,ds1,,,senba,43704979,8000000,5613103867,27356137,16348842,8353715
after,8,ds1,,ds1,,,senba,43704979,1000000,3599245600,2662294,41042685,40042685
after,8,ds1,,ds1,,,senba,43704979,4000000,5201096241,17056843,26648136,22648136
after,8,ds1,,ds1,,,senba,43704979,8000000,5470012043,27356137,16348842,8353715
before,9,ds1,,ds1,,,senba,43704979,1000000,3714876876,2662294,41042685,40042685
before,9,ds1,,ds1,,,senba,43704979,4000000,5248370330,17056843,26648136,22648136
before,9,ds1,,ds1,,,senba,43704979,8000000,5494798528,27356137,16348842,8353715
after,9,ds1,,ds1,,,senba,43704979,1000000,3621786690,2662294,41042685,40042685
after,9,ds1,,ds1,,,senba,43704979,4000000,5337408212,17056843,26648136,22648136
after,9,ds1,,ds1,,,senba,43704979,8000000,5440329464,27356137,16348842,8353715
