config,trial,workload,skew,cluster_or_preset,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
before,1,oltp,,oltp,,,senba,18282900,256,564090670,3157540,15125360,15125104
before,1,oltp,,oltp,,,senba,18282900,512,576653993,5356472,12926428,12925916
before,1,oltp,,oltp,,,senba,18282900,1000,564757282,6925957,11356943,11355943
before,1,oltp,,oltp,,,senba,18282900,2000,561215930,8304968,9977932,9975932
after,1,oltp,,oltp,,,senba,18282900,256,570826872,3157540,15125360,15125104
after,1,oltp,,oltp,,,senba,18282900,512,567447113,5356472,12926428,12925916
after,1,oltp,,oltp,,,senba,18282900,1000,572642034,6925957,11356943,11355943
after,1,oltp,,oltp,,,senba,18282900,2000,546189808,8304968,9977932,9975932
before,2,oltp,,oltp,,,senba,18282900,256,562995359,3157540,15125360,15125104
before,2,oltp,,oltp,,,senba,18282900,512,569998784,5356472,12926428,12925916
before,2,oltp,,oltp,,,senba,18282900,1000,568910092,6925957,11356943,11355943
before,2,oltp,,oltp,,,senba,18282900,2000,563886104,8304968,9977932,9975932
after,2,oltp,,oltp,,,senba,18282900,256,577552564,3157540,15125360,15125104
after,2,oltp,,oltp,,,senba,18282900,512,582879280,5356472,12926428,12925916
after,2,oltp,,oltp,,,senba,18282900,1000,569008028,6925957,11356943,11355943
after,2,oltp,,oltp,,,senba,18282900,2000,547908811,8304968,9977932,9975932
before,3,oltp,,oltp,,,senba,18282900,256,570452641,3157540,15125360,15125104
before,3,oltp,,oltp,,,senba,18282900,512,564935895,5356472,12926428,12925916
before,3,oltp,,oltp,,,senba,18282900,1000,571646555,6925957,11356943,11355943
before,3,oltp,,oltp,,,senba,18282900,2000,564033214,8304968,9977932,9975932
after,3,oltp,,oltp,,,senba,18282900,256,581566973,3157540,15125360,15125104
after,3,oltp,,oltp,,,senba,18282900,512,575818440,5356472,12926428,12925916
after,3,oltp,,oltp,,,senba,18282900,1000,565935293,6925957,11356943,11355943
after,3,oltp,,oltp,,,senba,18282900,2000,559203925,8304968,9977932,9975932
before,4,oltp,,oltp,,,senba,18282900,256,567689934,3157540,15125360,15125104
before,4,oltp,,oltp,,,senba,18282900,512,579871219,5356472,12926428,12925916
before,4,oltp,,oltp,,,senba,18282900,1000,570316832,6925957,11356943,11355943
before,4,oltp,,oltp,,,senba,18282900,2000,541973933,8304968,9977932,9975932
after,4,oltp,,oltp,,,senba,18282900,256,577396539,3157540,15125360,15125104
after,4,oltp,,oltp,,,senba,18282900,512,576420121,5356472,12926428,12925916
after,4,oltp,,oltp,,,senba,18282900,1000,559035428,6925957,11356943,11355943
after,4,oltp,,oltp,,,senba,18282900,2000,545150693,8304968,9977932,9975932
before,5,oltp,,oltp,,,senba,18282900,256,568937162,3157540,15125360,15125104
before,5,oltp,,oltp,,,senba,18282900,512,576093019,5356472,12926428,12925916
before,5,oltp,,oltp,,,senba,18282900,1000,558846302,6925957,11356943,11355943
before,5,oltp,,oltp,,,senba,18282900,2000,551703089,8304968,9977932,9975932
after,5,oltp,,oltp,,,senba,18282900,256,564799820,3157540,15125360,15125104
after,5,oltp,,oltp,,,senba,18282900,512,577579860,5356472,12926428,12925916
after,5,oltp,,oltp,,,senba,18282900,1000,563948900,6925957,11356943,11355943
after,5,oltp,,oltp,,,senba,18282900,2000,545567443,8304968,9977932,9975932
before,6,oltp,,oltp,,,senba,18282900,256,564615624,3157540,15125360,15125104
before,6,oltp,,oltp,,,senba,18282900,512,565215115,5356472,12926428,12925916
before,6,oltp,,oltp,,,senba,18282900,1000,561381011,6925957,11356943,11355943
before,6,oltp,,oltp,,,senba,18282900,2000,560762154,8304968,9977932,9975932
after,6,oltp,,oltp,,,senba,18282900,256,587352819,3157540,15125360,15125104
after,6,oltp,,oltp,,,senba,18282900,512,580693070,5356472,12926428,12925916
after,6,oltp,,oltp,,,senba,18282900,1000,566899292,6925957,11356943,11355943
after,6,oltp,,oltp,,,senba,18282900,2000,550012317,8304968,9977932,9975932
before,7,oltp,,oltp,,,senba,18282900,256,564566328,3157540,15125360,15125104
before,7,oltp,,oltp,,,senba,18282900,512,572788784,5356472,12926428,12925916
before,7,oltp,,oltp,,,senba,18282900,1000,566808520,6925957,11356943,11355943
before,7,oltp,,oltp,,,senba,18282900,2000,541619335,8304968,9977932,9975932
after,7,oltp,,oltp,,,senba,18282900,256,571302818,3157540,15125360,15125104
after,7,oltp,,oltp,,,senba,18282900,512,578718418,5356472,12926428,12925916
after,7,oltp,,oltp,,,senba,18282900,1000,564694012,6925957,11356943,11355943
after,7,oltp,,oltp,,,senba,18282900,2000,544427885,8304968,9977932,9975932
before,8,oltp,,oltp,,,senba,18282900,256,570564733,3157540,15125360,15125104
before,8,oltp,,oltp,,,senba,18282900,512,580116480,5356472,12926428,12925916
before,8,oltp,,oltp,,,senba,18282900,1000,567466047,6925957,11356943,11355943
before,8,oltp,,oltp,,,senba,18282900,2000,567266717,8304968,9977932,9975932
after,8,oltp,,oltp,,,senba,18282900,256,569453410,3157540,15125360,15125104
