config,trial,workload,skew,cluster_or_preset,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
before,1,zipf,1.2,zipf,32,128,senba_n128,100000000,4096,1252647818,90394421,9605579,9601483
after,1,zipf,1.2,zipf,32,128,senba_n128,100000000,4096,1268927179,90394421,9605579,9601483
before,2,zipf,1.2,zipf,32,128,senba_n128,100000000,4096,1244250445,90394421,9605579,9601483
after,2,zipf,1.2,zipf,32,128,senba_n128,100000000,4096,1255151934,90394421,9605579,9601483
before,3,zipf,1.2,zipf,32,128,senba_n128,100000000,4096,1246071080,90394421,9605579,9601483
after,3,zipf,1.2,zipf,32,128,senba_n128,100000000,4096,1224364892,90394421,9605579,9601483
before,1,zipf,1.4,zipf,32,128,senba_n128,100000000,4096,978093418,97657668,2342332,2338236
after,1,zipf,1.4,zipf,32,128,senba_n128,100000000,4096,978119596,97657668,2342332,2338236
before,2,zipf,1.4,zipf,32,128,senba_n128,100000000,4096,980662565,97657668,2342332,2338236
after,2,zipf,1.4,zipf,32,128,senba_n128,100000000,4096,990342484,97657668,2342332,2338236
before,3,zipf,1.4,zipf,32,128,senba_n128,100000000,4096,973972655,97657668,2342332,2338236
after,3,zipf,1.4,zipf,32,128,senba_n128,100000000,4096,987324242,97657668,2342332,2338236
before,1,zipf,1.2,zipf,64,64,senba_n64,100000000,4096,1313081029,90549020,9450980,9446884
after,1,zipf,1.2,zipf,64,64,senba_n64,100000000,4096,1329955943,90549020,9450980,9446884
before,2,zipf,1.2,zipf,64,64,senba_n64,100000000,4096,1343720830,90549020,9450980,9446884
after,2,zipf,1.2,zipf,64,64,senba_n64,100000000,4096,1348346420,90549020,9450980,9446884
before,3,zipf,1.2,zipf,64,64,senba_n64,100000000,4096,1359437812,90549020,9450980,9446884
after,3,zipf,1.2,zipf,64,64,senba_n64,100000000,4096,1329354590,90549020,9450980,9446884
before,1,zipf,1.4,zipf,64,64,senba_n64,100000000,4096,1018161673,97709377,2290623,2286527
after,1,zipf,1.4,zipf,64,64,senba_n64,100000000,4096,1068792835,97709377,2290623,2286527
before,2,zipf,1.4,zipf,64,64,senba_n64,100000000,4096,1040250342,97709377,2290623,2286527
after,2,zipf,1.4,zipf,64,64,senba_n64,100000000,4096,1015380887,97709377,2290623,2286527
before,3,zipf,1.4,zipf,64,64,senba_n64,100000000,4096,1010551936,97709377,2290623,2286527
after,3,zipf,1.4,zipf,64,64,senba_n64,100000000,4096,1020416792,97709377,2290623,2286527
before,1,zipf,1.2,zipf,32,512,senba_n512,100000000,16384,1143932203,95163448,4836552,4820168
after,1,zipf,1.2,zipf,32,512,senba_n512,100000000,16384,1174975700,95163448,4836552,4820168
before,2,zipf,1.2,zipf,32,512,senba_n512,100000000,16384,1145448003,95163448,4836552,4820168
after,2,zipf,1.2,zipf,32,512,senba_n512,100000000,16384,1143530465,95163448,4836552,4820168
before,3,zipf,1.2,zipf,32,512,senba_n512,100000000,16384,1146136342,95163448,4836552,4820168
after,3,zipf,1.2,zipf,32,512,senba_n512,100000000,16384,1152710716,95163448,4836552,4820168
before,1,zipf,1.4,zipf,32,512,senba_n512,100000000,16384,972099500,99035894,964106,947722
after,1,zipf,1.4,zipf,32,512,senba_n512,100000000,16384,976072578,99035894,964106,947722
before,2,zipf,1.4,zipf,32,512,senba_n512,100000000,16384,983876829,99035894,964106,947722
after,2,zipf,1.4,zipf,32,512,senba_n512,100000000,16384,968848222,99035894,964106,947722
before,3,zipf,1.4,zipf,32,512,senba_n512,100000000,16384,978874302,99035894,964106,947722
after,3,zipf,1.4,zipf,32,512,senba_n512,100000000,16384,992560251,99035894,964106,947722
before,1,zipf,1.2,zipf,64,256,senba_n256,100000000,16384,1262799783,95296112,4703888,4687504
after,1,zipf,1.2,zipf,64,256,senba_n256,100000000,16384,1260611955,95296112,4703888,4687504
before,2,zipf,1.2,zipf,64,256,senba_n256,100000000,16384,1257040155,95296112,4703888,4687504
after,2,zipf,1.2,zipf,64,256,senba_n256,100000000,16384,1245226359,95296112,4703888,4687504
before,3,zipf,1.2,zipf,64,256,senba_n256,100000000,16384,1234984671,95296112,4703888,4687504
after,3,zipf,1.2,zipf,64,256,senba_n256,100000000,16384,1248956151,95296112,4703888,4687504
before,1,zipf,1.4,zipf,64,256,senba_n256,100000000,16384,1005373793,99060025,939975,923591
after,1,zipf,1.4,zipf,64,256,senba_n256,100000000,16384,1003146016,99060025,939975,923591
before,2,zipf,1.4,zipf,64,256,senba_n256,100000000,16384,999897153,99060025,939975,923591
after,2,zipf,1.4,zipf,64,256,senba_n256,100000000,16384,995311236,99060025,939975,923591
before,3,zipf,1.4,zipf,64,256,senba_n256,100000000,16384,992984866,99060025,939975,923591
after,3,zipf,1.4,zipf,64,256,senba_n256,100000000,16384,999677328,99060025,939975,923591
