trial,variant,cluster,len,capacity,elapsed_ns,hits,misses,evictions
1,c14s_n64,cluster006,1000000,1024,81532310,130323,869677,868653
1,c14s_n64,cluster006,1000000,2048,116403834,224020,775980,773932
1,c14s_n64,cluster006,1000000,4096,161538307,352933,647067,642971
1,c15s_16_n64,cluster006,1000000,1024,86365180,120164,879836,878812
1,c15s_16_n64,cluster006,1000000,2048,133130062,198888,801112,799064
1,c15s_16_n64,cluster006,1000000,4096,200881349,311516,688484,684388
1,c15s_8_n64,cluster006,1000000,1024,86847724,124347,875653,874629
1,c15s_8_n64,cluster006,1000000,2048,122516375,206908,793092,791044
1,c15s_8_n64,cluster006,1000000,4096,179706016,327765,672235,668139
1,c15s_4_n64,cluster006,1000000,1024,84745774,126399,873601,872577
1,c15s_4_n64,cluster006,1000000,2048,116022163,216847,783153,781105
1,c15s_4_n64,cluster006,1000000,4096,164998456,340675,659325,655229
2,c14s_n64,cluster006,1000000,1024,83340103,130323,869677,868653
2,c14s_n64,cluster006,1000000,2048,114943332,224020,775980,773932
2,c14s_n64,cluster006,1000000,4096,164134020,352933,647067,642971
2,c15s_16_n64,cluster006,1000000,1024,89043818,121407,878593,877569
2,c15s_16_n64,cluster006,1000000,2048,127234915,199287,800713,798665
2,c15s_16_n64,cluster006,1000000,4096,210336674,310357,689643,685547
2,c15s_8_n64,cluster006,1000000,1024,85367077,124561,875439,874415
2,c15s_8_n64,cluster006,1000000,2048,120726163,211558,788442,786394
2,c15s_8_n64,cluster006,1000000,4096,179382425,330580,669420,665324
2,c15s_4_n64,cluster006,1000000,1024,85935186,126655,873345,872321
2,c15s_4_n64,cluster006,1000000,2048,115970156,215930,784070,782022
2,c15s_4_n64,cluster006,1000000,4096,170196580,340872,659128,655032
3,c14s_n64,cluster006,1000000,1024,88023162,130323,869677,868653
3,c14s_n64,cluster006,1000000,2048,115438064,224020,775980,773932
3,c14s_n64,cluster006,1000000,4096,158568028,352933,647067,642971
3,c15s_16_n64,cluster006,1000000,1024,86336271,121407,878593,877569
3,c15s_16_n64,cluster006,1000000,2048,129528977,199287,800713,798665
3,c15s_16_n64,cluster006,1000000,4096,209135642,310357,689643,685547
3,c15s_8_n64,cluster006,1000000,1024,86858988,124561,875439,874415
3,c15s_8_n64,cluster006,1000000,2048,117260887,211558,788442,786394
3,c15s_8_n64,cluster006,1000000,4096,174833923,330580,669420,665324
3,c15s_4_n64,cluster006,1000000,1024,82667208,126655,873345,872321
3,c15s_4_n64,cluster006,1000000,2048,114059618,215930,784070,782022
3,c15s_4_n64,cluster006,1000000,4096,158951586,340872,659128,655032
4,c14s_n64,cluster006,1000000,1024,83599827,130323,869677,868653
4,c14s_n64,cluster006,1000000,2048,116958703,224020,775980,773932
4,c14s_n64,cluster006,1000000,4096,159873791,352933,647067,642971
4,c15s_16_n64,cluster006,1000000,1024,90894542,120321,879679,878655
4,c15s_16_n64,cluster006,1000000,2048,129633389,199444,800556,798508
4,c15s_16_n64,cluster006,1000000,4096,209155695,309647,690353,686257
4,c15s_8_n64,cluster006,1000000,1024,88634582,124052,875948,874924
4,c15s_8_n64,cluster006,1000000,2048,118949645,209221,790779,788731
4,c15s_8_n64,cluster006,1000000,4096,173725088,329834,670166,666070
4,c15s_4_n64,cluster006,1000000,1024,81853682,127350,872650,871626
4,c15s_4_n64,cluster006,1000000,2048,118674231,215487,784513,782465
4,c15s_4_n64,cluster006,1000000,4096,161718403,341057,658943,654847
5,c14s_n64,cluster006,1000000,1024,83455812,130323,869677,868653
5,c14s_n64,cluster006,1000000,2048,115389664,224020,775980,773932
5,c14s_n64,cluster006,1000000,4096,159569821,352933,647067,642971
5,c15s_16_n64,cluster006,1000000,1024,89760527,120321,879679,878655
5,c15s_16_n64,cluster006,1000000,2048,132151654,199444,800556,798508
5,c15s_16_n64,cluster006,1000000,4096,208403784,309647,690353,686257
5,c15s_8_n64,cluster006,1000000,1024,86195830,124052,875948,874924
5,c15s_8_n64,cluster006,1000000,2048,118988346,209221,790779,788731
5,c15s_8_n64,cluster006,1000000,4096,172474163,329834,670166,666070
5,c15s_4_n64,cluster006,1000000,1024,83524509,127350,872650,871626
5,c15s_4_n64,cluster006,1000000,2048,114529418,215487,784513,782465
5,c15s_4_n64,cluster006,1000000,4096,160811260,341057,658943,654847
1,c14s_n64,cluster016,1000000,1024,86378947,371857,628143,627119
1,c14s_n64,cluster016,1000000,2048,135159548,427930,572070,570022
1,c14s_n64,cluster016,1000000,4096,209684755,496901,503099,499003
1,c15s_16_n64,cluster016,1000000,1024,85429340,336577,663423,662399
1,c15s_16_n64,cluster016,1000000,2048,130468311,385708,614292,612244
