variant,trial,op_mix,skew,keys,threads,cap,shards,ops,total_elapsed_ns,aggregate_mops,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c14s,0,read-heavy,1,200000,16,4096,64,16000000,161502175,99.0699,0.6460,130.79,312.50,0.0671
c14s,1,read-heavy,1,200000,16,4096,64,16000000,164396976,97.3254,0.6461,131.57,293.25,0.0637
c14s,2,read-heavy,1,200000,16,4096,64,16000000,160669738,99.5832,0.6459,131.39,301.62,0.0462
c14s,3,read-heavy,1,200000,16,4096,64,16000000,163509666,97.8535,0.6458,129.46,276.24,0.0645
c14s,4,read-heavy,1,200000,16,4096,64,16000000,161374170,99.1485,0.6463,130.91,310.20,0.0552
c15s_16,0,read-heavy,1,200000,16,4096,64,16000000,158314499,101.0647,0.6398,133.73,316.33,0.0453
c15s_16,1,read-heavy,1,200000,16,4096,64,16000000,175945215,90.9374,0.6409,135.57,543.83,0.0559
c15s_16,2,read-heavy,1,200000,16,4096,64,16000000,159679409,100.2008,0.6404,132.38,320.86,0.0529
c15s_16,3,read-heavy,1,200000,16,4096,64,16000000,167937175,95.2737,0.6404,132.57,365.08,0.0697
c15s_16,4,read-heavy,1,200000,16,4096,64,16000000,177131941,90.3281,0.6404,133.84,370.98,0.0636
c15s_8,0,read-heavy,1,200000,16,4096,64,16000000,169813541,94.2210,0.6419,133.61,362.47,0.0539
c15s_8,1,read-heavy,1,200000,16,4096,64,16000000,163993093,97.5651,0.6427,133.45,331.02,0.0569
c15s_8,2,read-heavy,1,200000,16,4096,64,16000000,165621832,96.6056,0.6427,131.28,287.91,0.0583
c15s_8,3,read-heavy,1,200000,16,4096,64,16000000,165762364,96.5237,0.6425,131.91,283.48,0.0700
c15s_8,4,read-heavy,1,200000,16,4096,64,16000000,160873725,99.4569,0.6422,131.92,283.88,0.0526
c15s_4,0,read-heavy,1,200000,16,4096,64,16000000,171964977,93.0422,0.6444,135.24,390.48,0.0528
c15s_4,1,read-heavy,1,200000,16,4096,64,16000000,181435945,88.1854,0.6438,135.63,471.21,0.0582
c15s_4,2,read-heavy,1,200000,16,4096,64,16000000,164262452,97.4051,0.6443,132.74,368.27,0.0422
c15s_4,3,read-heavy,1,200000,16,4096,64,16000000,172139610,92.9478,0.6445,134.17,353.15,0.0545
c15s_4,4,read-heavy,1,200000,16,4096,64,16000000,163989144,97.5674,0.6443,133.43,314.29,0.0544
