variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,0.6,100000,1000000,64,45768994,34814,965186,965122
orig,zipf,0.6,100000,1000000,128,43964780,50294,949706,949578
orig,zipf,0.6,100000,1000000,256,45585844,64469,935531,935275
orig,zipf,0.6,100000,1000000,512,54244961,87612,912388,911876
orig,zipf,0.6,100000,1000000,1024,50690282,115269,884731,883707
orig,zipf,0.6,100000,1000000,2048,45103516,155912,844088,842040
orig,zipf,0.6,100000,1000000,4096,45020873,213104,786896,782800
orig,zipf,0.6,100000,1000000,8192,45859793,292183,707817,699625
j3,zipf,0.6,100000,1000000,64,32511925,34814,965186,965122
j3,zipf,0.6,100000,1000000,128,41090741,50294,949706,949578
j3,zipf,0.6,100000,1000000,256,55827468,64469,935531,935275
j3,zipf,0.6,100000,1000000,512,78675380,87612,912388,911876
j3,zipf,0.6,100000,1000000,1024,123951328,115269,884731,883707
j3,zipf,0.6,100000,1000000,2048,205152604,155912,844088,842040
j3,zipf,0.6,100000,1000000,4096,371147787,213104,786896,782800
j3,zipf,0.6,100000,1000000,8192,704370541,292183,707817,699625
j4,zipf,0.6,100000,1000000,64,41911378,31002,968998,968934
j4,zipf,0.6,100000,1000000,128,40943284,48627,951373,951245
j4,zipf,0.6,100000,1000000,256,43732041,67458,932542,932286
j4,zipf,0.6,100000,1000000,512,45259574,89330,910670,910158
j4,zipf,0.6,100000,1000000,1024,51549487,121021,878979,877955
j4,zipf,0.6,100000,1000000,2048,70503980,159908,840092,838044
j4,zipf,0.6,100000,1000000,4096,111858198,216042,783958,779862
j4,zipf,0.6,100000,1000000,8192,164224001,293136,706864,698672
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1,100000,1000000,64,35054473,375441,624559,624495
orig,zipf,1,100000,1000000,128,33525222,432035,567965,567837
orig,zipf,1,100000,1000000,256,32479048,488876,511124,510868
orig,zipf,1,100000,1000000,512,31238388,545430,454570,454058
orig,zipf,1,100000,1000000,1024,27383848,598348,401652,400628
orig,zipf,1,100000,1000000,2048,25651642,651818,348182,346134
orig,zipf,1,100000,1000000,4096,25919911,705635,294365,290269
orig,zipf,1,100000,1000000,8192,25197650,759977,240023,231831
j3,zipf,1,100000,1000000,64,30553213,375441,624559,624495
j3,zipf,1,100000,1000000,128,35797767,432035,567965,567837
j3,zipf,1,100000,1000000,256,45591927,488876,511124,510868
j3,zipf,1,100000,1000000,512,54957836,545430,454570,454058
j3,zipf,1,100000,1000000,1024,76035796,598348,401652,400628
j3,zipf,1,100000,1000000,2048,112706526,651818,348182,346134
j3,zipf,1,100000,1000000,4096,176827653,705635,294365,290269
j3,zipf,1,100000,1000000,8192,295607451,759977,240023,231831
j4,zipf,1,100000,1000000,64,35894407,347278,652722,652658
j4,zipf,1,100000,1000000,128,35664844,421041,578959,578831
j4,zipf,1,100000,1000000,256,36565476,484539,515461,515205
j4,zipf,1,100000,1000000,512,36238573,543522,456478,455966
j4,zipf,1,100000,1000000,1024,40437685,601160,398840,397816
j4,zipf,1,100000,1000000,2048,50079634,654291,345709,343661
j4,zipf,1,100000,1000000,4096,63959344,706372,293628,289532
j4,zipf,1,100000,1000000,8192,82844480,760153,239847,231655
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1.2,100000,1000000,64,24880078,656230,343770,343706
orig,zipf,1.2,100000,1000000,128,22330053,715497,284503,284375
orig,zipf,1.2,100000,1000000,256,22189852,764841,235159,234903
orig,zipf,1.2,100000,1000000,512,19190184,805836,194164,193652
orig,zipf,1.2,100000,1000000,1024,19693946,841056,158944,157920
orig,zipf,1.2,100000,1000000,2048,17192490,871383,128617,126569
orig,zipf,1.2,100000,1000000,4096,18019536,897791,102209,98113
orig,zipf,1.2,100000,1000000,8192,17027897,919548,80452,72260
j3,zipf,1.2,100000,1000000,64,23622844,656230,343770,343706
j3,zipf,1.2,100000,1000000,128,25625578,715497,284503,284375
j3,zipf,1.2,100000,1000000,256,28203870,764841,235159,234903
j3,zipf,1.2,100000,1000000,512,33214066,805836,194164,193652
j3,zipf,1.2,100000,1000000,1024,41359423,841056,158944,157920
j3,zipf,1.2,100000,1000000,2048,56007508,871383,128617,126569
j3,zipf,1.2,100000,1000000,4096,78697863,897791,102209,98113
j3,zipf,1.2,100000,1000000,8192,119436092,919548,80452,72260
j4,zipf,1.2,100000,1000000,64,30041373,625525,374475,374411
j4,zipf,1.2,100000,1000000,128,27145350,703627,296373,296245
j4,zipf,1.2,100000,1000000,256,26049655,758962,241038,240782
j4,zipf,1.2,100000,1000000,512,26564279,804920,195080,194568
j4,zipf,1.2,100000,1000000,1024,28815204,842483,157517,156493
j4,zipf,1.2,100000,1000000,2048,30818449,872142,127858,125810
j4,zipf,1.2,100000,1000000,4096,36692838,897697,102303,98207
j4,zipf,1.2,100000,1000000,8192,41784960,919554,80446,72254
