variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,0.6,100000,1000000,64,44441441,34814,965186,965122
orig,zipf,0.6,100000,1000000,128,42472248,50294,949706,949578
orig,zipf,0.6,100000,1000000,256,43336432,64469,935531,935275
orig,zipf,0.6,100000,1000000,512,53069316,87612,912388,911876
orig,zipf,0.6,100000,1000000,1024,47733296,115269,884731,883707
orig,zipf,0.6,100000,1000000,2048,43861675,155912,844088,842040
orig,zipf,0.6,100000,1000000,4096,44413575,213104,786896,782800
orig,zipf,0.6,100000,1000000,8192,43403116,292183,707817,699625
orig,zipf,0.6,100000,1000000,16384,45373195,401834,598166,581782
j3,zipf,0.6,100000,1000000,64,35293215,34814,965186,965122
j3,zipf,0.6,100000,1000000,128,41019901,50294,949706,949578
j3,zipf,0.6,100000,1000000,256,55622991,64469,935531,935275
j3,zipf,0.6,100000,1000000,512,81814091,87612,912388,911876
j3,zipf,0.6,100000,1000000,1024,130202179,115269,884731,883707
j3,zipf,0.6,100000,1000000,2048,226109455,155912,844088,842040
j3,zipf,0.6,100000,1000000,4096,432096318,213104,786896,782800
j3,zipf,0.6,100000,1000000,8192,869293003,292183,707817,699625
j3,zipf,0.6,100000,1000000,16384,1643063850,401834,598166,581782
j4_n8,zipf,0.6,100000,1000000,64,43327305,31002,968998,968934
j4_n8,zipf,0.6,100000,1000000,128,43274234,48627,951373,951245
j4_n8,zipf,0.6,100000,1000000,256,44153584,67458,932542,932286
j4_n8,zipf,0.6,100000,1000000,512,45693115,89330,910670,910158
j4_n8,zipf,0.6,100000,1000000,1024,53119609,121021,878979,877955
j4_n8,zipf,0.6,100000,1000000,2048,70654892,159908,840092,838044
j4_n8,zipf,0.6,100000,1000000,4096,122143532,216042,783958,779862
j4_n8,zipf,0.6,100000,1000000,8192,187617334,293136,706864,698672
j4_n8,zipf,0.6,100000,1000000,16384,283497902,402197,597803,581419
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1,100000,1000000,64,34104711,375441,624559,624495
orig,zipf,1,100000,1000000,128,35361559,432035,567965,567837
orig,zipf,1,100000,1000000,256,31722648,488876,511124,510868
orig,zipf,1,100000,1000000,512,30413866,545430,454570,454058
orig,zipf,1,100000,1000000,1024,27260930,598348,401652,400628
orig,zipf,1,100000,1000000,2048,28540284,651818,348182,346134
orig,zipf,1,100000,1000000,4096,25612092,705635,294365,290269
orig,zipf,1,100000,1000000,8192,25170855,759977,240023,231831
orig,zipf,1,100000,1000000,16384,23365028,814191,185809,169425
j3,zipf,1,100000,1000000,64,32087314,375441,624559,624495
j3,zipf,1,100000,1000000,128,37421131,432035,567965,567837
