variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,0.6,100000,1000000,100,47191135,42568,957432,957332
orig,zipf,0.6,100000,1000000,1000,50187514,113883,886117,885117
orig,zipf,0.6,100000,1000000,10000,40211591,320033,679967,669967
v3,zipf,0.6,100000,1000000,100,58052812,42568,957432,957332
v3,zipf,0.6,100000,1000000,1000,60207654,113883,886117,885117
v3,zipf,0.6,100000,1000000,10000,51882498,320033,679967,669967
j3,zipf,0.6,100000,1000000,100,38099868,42568,957432,957332
j3,zipf,0.6,100000,1000000,1000,124286523,113883,886117,885117
j3,zipf,0.6,100000,1000000,10000,920780324,320033,679967,669967
j4,zipf,0.6,100000,1000000,100,43323006,41106,958894,958794
j4,zipf,0.6,100000,1000000,1000,52858376,119932,880068,879068
j4,zipf,0.6,100000,1000000,10000,198505035,320691,679309,669309
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,0.8,100000,1000000,100,44764678,163949,836051,835951
orig,zipf,0.8,100000,1000000,1000,39482506,307546,692454,691454
orig,zipf,0.8,100000,1000000,10000,33291493,537988,462012,452012
v3,zipf,0.8,100000,1000000,100,52987076,163949,836051,835951
v3,zipf,0.8,100000,1000000,1000,46768279,307546,692454,691454
v3,zipf,0.8,100000,1000000,10000,39157365,537988,462012,452012
j3,zipf,0.8,100000,1000000,100,37274312,163949,836051,835951
j3,zipf,0.8,100000,1000000,1000,104939047,307546,692454,691454
j3,zipf,0.8,100000,1000000,10000,676825374,537988,462012,452012
j4,zipf,0.8,100000,1000000,100,40161000,154312,845688,845588
j4,zipf,0.8,100000,1000000,1000,51311243,312263,687737,686737
j4,zipf,0.8,100000,1000000,10000,150571921,538465,461535,451535
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1,100000,1000000,100,36650197,410172,589828,589728
orig,zipf,1,100000,1000000,1000,29328298,596607,403393,402393
orig,zipf,1,100000,1000000,10000,22348458,776084,223916,213916
v3,zipf,1,100000,1000000,100,43679593,410172,589828,589728
v3,zipf,1,100000,1000000,1000,33118212,596607,403393,402393
v3,zipf,1,100000,1000000,10000,25578411,776084,223916,213916
j3,zipf,1,100000,1000000,100,33912193,410172,589828,589728
j3,zipf,1,100000,1000000,1000,80772456,596607,403393,402393
j3,zipf,1,100000,1000000,10000,372924687,776084,223916,213916
j4,zipf,1,100000,1000000,100,37096980,395975,604025,603925
j4,zipf,1,100000,1000000,1000,42183695,599979,400021,399021
j4,zipf,1,100000,1000000,10000,92918686,775970,224030,214030
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1.2,100000,1000000,100,23987627,694521,305479,305379
orig,zipf,1.2,100000,1000000,1000,18561628,839724,160276,159276
orig,zipf,1.2,100000,1000000,10000,16661450,925089,74911,64911
v3,zipf,1.2,100000,1000000,100,27306737,694521,305479,305379
v3,zipf,1.2,100000,1000000,1000,20413456,839724,160276,159276
v3,zipf,1.2,100000,1000000,10000,17463263,925089,74911,64911
j3,zipf,1.2,100000,1000000,100,24349285,694521,305479,305379
j3,zipf,1.2,100000,1000000,1000,40521264,839724,160276,159276
j3,zipf,1.2,100000,1000000,10000,148528372,925089,74911,64911
j4,zipf,1.2,100000,1000000,100,28215402,677536,322464,322364
j4,zipf,1.2,100000,1000000,1000,28694455,840593,159407,158407
j4,zipf,1.2,100000,1000000,10000,46650662,925117,74883,64883
