variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
j4_n8,zipf,0.6,100000,1000000,1024,50146674,121021,878979,877955
j4_n8,zipf,0.6,100000,1000000,4096,118878703,216042,783958,779862
j4_n8,zipf,0.6,100000,1000000,8192,177979217,293136,706864,698672
j4_n8,zipf,0.6,100000,1000000,16384,271167194,402197,597803,581419
j4_n32,zipf,0.6,100000,1000000,1024,42969289,120283,879717,878693
j4_n32,zipf,0.6,100000,1000000,4096,49667891,219978,780022,775926
j4_n32,zipf,0.6,100000,1000000,8192,67360782,295303,704697,696505
j4_n32,zipf,0.6,100000,1000000,16384,108191297,403645,596355,579971
j4_n64,zipf,0.6,100000,1000000,1024,42310672,118982,881018,879994
j4_n64,zipf,0.6,100000,1000000,4096,44110249,220843,779157,775061
j4_n64,zipf,0.6,100000,1000000,8192,50515761,297088,702912,694720
j4_n64,zipf,0.6,100000,1000000,16384,67303032,404632,595368,578984
j4_n128,zipf,0.6,100000,1000000,1024,39914806,113588,886412,885388
j4_n128,zipf,0.6,100000,1000000,4096,43727838,221065,778935,774839
j4_n128,zipf,0.6,100000,1000000,8192,45151017,298961,701039,692847
j4_n128,zipf,0.6,100000,1000000,16384,52777092,406135,593865,577481
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
j4_n8,zipf,1,100000,1000000,1024,40574217,601160,398840,397816
j4_n8,zipf,1,100000,1000000,4096,66829099,706372,293628,289532
j4_n8,zipf,1,100000,1000000,8192,85716707,760153,239847,231655
j4_n8,zipf,1,100000,1000000,16384,115188826,814264,185736,169352
j4_n32,zipf,1,100000,1000000,1024,31685755,596016,403984,402960
j4_n32,zipf,1,100000,1000000,4096,33246965,707475,292525,288429
j4_n32,zipf,1,100000,1000000,8192,40889839,760530,239470,231278
j4_n32,zipf,1,100000,1000000,16384,54239300,814049,185951,169567
j4_n64,zipf,1,100000,1000000,1024,30984635,590082,409918,408894
j4_n64,zipf,1,100000,1000000,4096,30438635,708367,291633,287537
j4_n64,zipf,1,100000,1000000,8192,32150751,760778,239222,231030
j4_n64,zipf,1,100000,1000000,16384,38609996,814065,185935,169551
j4_n128,zipf,1,100000,1000000,1024,31404865,577190,422810,421786
j4_n128,zipf,1,100000,1000000,4096,28133753,706937,293063,288967
j4_n128,zipf,1,100000,1000000,8192,28841104,760923,239077,230885
j4_n128,zipf,1,100000,1000000,16384,31562556,813980,186020,169636
