variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,0.6,100000,1000000,1024,51138769,115269,884731,883707
j3,zipf,0.6,100000,1000000,1024,132146468,115269,884731,883707
j4_n1,zipf,0.6,100000,1000000,1024,147136495,115269,884731,883707
j4_n2,zipf,0.6,100000,1000000,1024,111282125,115451,884549,883525
j4_n4,zipf,0.6,100000,1000000,1024,71520504,117924,882076,881052
j4_n8,zipf,0.6,100000,1000000,1024,53761355,121021,878979,877955
j4_n16,zipf,0.6,100000,1000000,1024,47218273,121006,878994,877970
j4_n32,zipf,0.6,100000,1000000,1024,44429537,120283,879717,878693
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1,100000,1000000,1024,29282731,598348,401652,400628
j3,zipf,1,100000,1000000,1024,84273589,598348,401652,400628
j4_n1,zipf,1,100000,1000000,1024,86120903,598348,401652,400628
j4_n2,zipf,1,100000,1000000,1024,69817738,601320,398680,397656
j4_n4,zipf,1,100000,1000000,1024,52404887,601663,398337,397313
j4_n8,zipf,1,100000,1000000,1024,40153050,601160,398840,397816
j4_n16,zipf,1,100000,1000000,1024,34641067,599404,400596,399572
j4_n32,zipf,1,100000,1000000,1024,30903249,596016,403984,402960
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1.2,100000,1000000,1024,18425742,841056,158944,157920
j3,zipf,1.2,100000,1000000,1024,43618674,841056,158944,157920
j4_n1,zipf,1.2,100000,1000000,1024,48833919,841056,158944,157920
j4_n2,zipf,1.2,100000,1000000,1024,42677564,841800,158200,157176
j4_n4,zipf,1.2,100000,1000000,1024,33271411,841884,158116,157092
j4_n8,zipf,1.2,100000,1000000,1024,28538451,842483,157517,156493
j4_n16,zipf,1.2,100000,1000000,1024,25026860,841174,158826,157802
j4_n32,zipf,1.2,100000,1000000,1024,24252717,838820,161180,160156
