variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,0.6,100000,1000000,256,44436035,64469,935531,935275
j3,zipf,0.6,100000,1000000,256,56719655,64469,935531,935275
j4_n2,zipf,0.6,100000,1000000,256,51651094,65723,934277,934021
j4_n4,zipf,0.6,100000,1000000,256,46487318,67261,932739,932483
j4_n8,zipf,0.6,100000,1000000,256,42972645,67458,932542,932286
j4_n16,zipf,0.6,100000,1000000,256,42190520,65730,934270,934014
j4_n32,zipf,0.6,100000,1000000,256,40528701,61125,938875,938619
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1,100000,1000000,256,30956665,488876,511124,510868
j3,zipf,1,100000,1000000,256,45707149,488876,511124,510868
j4_n2,zipf,1,100000,1000000,256,41218709,489538,510462,510206
j4_n4,zipf,1,100000,1000000,256,38784071,488101,511899,511643
j4_n8,zipf,1,100000,1000000,256,34080178,484539,515461,515205
j4_n16,zipf,1,100000,1000000,256,34157343,478522,521478,521222
j4_n32,zipf,1,100000,1000000,256,34347664,463789,536211,535955
variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
orig,zipf,1.2,100000,1000000,256,19298666,764841,235159,234903
j3,zipf,1.2,100000,1000000,256,29766014,764841,235159,234903
j4_n2,zipf,1.2,100000,1000000,256,30613185,762863,237137,236881
j4_n4,zipf,1.2,100000,1000000,256,28690497,761962,238038,237782
j4_n8,zipf,1.2,100000,1000000,256,26340234,758962,241038,240782
j4_n16,zipf,1.2,100000,1000000,256,25299811,753071,246929,246673
j4_n32,zipf,1.2,100000,1000000,256,26689310,741977,258023,257767
