trial,variant,source,skew,keys,len,capacity,elapsed_ns,hits,misses,evictions
1,orig,zipf,1,100000,1000000,256,33397928,488876,511124,510868
1,j4_n1,zipf,1,100000,1000000,256,58088009,488876,511124,510868
1,j4_n2,zipf,1,100000,1000000,256,44417499,489538,510462,510206
1,j4_n8,zipf,1,100000,1000000,256,35653002,484539,515461,515205
1,j4_n32,zipf,1,100000,1000000,256,35579188,463789,536211,535955
1,j5_n1,zipf,1,100000,1000000,256,49959866,488876,511124,510868
1,j5_n2,zipf,1,100000,1000000,256,39923111,489538,510462,510206
1,j5_n8,zipf,1,100000,1000000,256,30175281,484539,515461,515205
1,j5_n32,zipf,1,100000,1000000,256,28457916,463789,536211,535955
2,orig,zipf,1,100000,1000000,256,32367722,488876,511124,510868
2,j4_n1,zipf,1,100000,1000000,256,56208617,488876,511124,510868
2,j4_n2,zipf,1,100000,1000000,256,45690912,489538,510462,510206
2,j4_n8,zipf,1,100000,1000000,256,36930182,484539,515461,515205
2,j4_n32,zipf,1,100000,1000000,256,35844500,463789,536211,535955
2,j5_n1,zipf,1,100000,1000000,256,47200758,488876,511124,510868
2,j5_n2,zipf,1,100000,1000000,256,41712056,489538,510462,510206
2,j5_n8,zipf,1,100000,1000000,256,29706646,484539,515461,515205
2,j5_n32,zipf,1,100000,1000000,256,27617389,463789,536211,535955
3,orig,zipf,1,100000,1000000,256,32422305,488876,511124,510868
3,j4_n1,zipf,1,100000,1000000,256,56887680,488876,511124,510868
3,j4_n2,zipf,1,100000,1000000,256,45355070,489538,510462,510206
3,j4_n8,zipf,1,100000,1000000,256,35283501,484539,515461,515205
3,j4_n32,zipf,1,100000,1000000,256,34374778,463789,536211,535955
3,j5_n1,zipf,1,100000,1000000,256,48363431,488876,511124,510868
3,j5_n2,zipf,1,100000,1000000,256,39781196,489538,510462,510206
3,j5_n8,zipf,1,100000,1000000,256,27136752,484539,515461,515205
3,j5_n32,zipf,1,100000,1000000,256,27857565,463789,536211,535955
4,orig,zipf,1,100000,1000000,256,33292289,488876,511124,510868
4,j4_n1,zipf,1,100000,1000000,256,57538155,488876,511124,510868
4,j4_n2,zipf,1,100000,1000000,256,45191737,489538,510462,510206
4,j4_n8,zipf,1,100000,1000000,256,35375042,484539,515461,515205
4,j4_n32,zipf,1,100000,1000000,256,34020189,463789,536211,535955
4,j5_n1,zipf,1,100000,1000000,256,49193063,488876,511124,510868
4,j5_n2,zipf,1,100000,1000000,256,41200540,489538,510462,510206
4,j5_n8,zipf,1,100000,1000000,256,29327750,484539,515461,515205
4,j5_n32,zipf,1,100000,1000000,256,27103905,463789,536211,535955
5,orig,zipf,1,100000,1000000,256,33243676,488876,511124,510868
5,j4_n1,zipf,1,100000,1000000,256,56748700,488876,511124,510868
5,j4_n2,zipf,1,100000,1000000,256,45001832,489538,510462,510206
5,j4_n8,zipf,1,100000,1000000,256,35313872,484539,515461,515205
5,j4_n32,zipf,1,100000,1000000,256,35056036,463789,536211,535955
5,j5_n1,zipf,1,100000,1000000,256,48229295,488876,511124,510868
5,j5_n2,zipf,1,100000,1000000,256,39094876,489538,510462,510206
5,j5_n8,zipf,1,100000,1000000,256,28693551,484539,515461,515205
5,j5_n32,zipf,1,100000,1000000,256,28410651,463789,536211,535955
1,orig,zipf,1,100000,1000000,1024,27716704,598348,401652,400628
1,j4_n8,zipf,1,100000,1000000,1024,39650541,601160,398840,397816
1,j5_n8,zipf,1,100000,1000000,1024,32035406,601160,398840,397816
1,orig,zipf,1,100000,1000000,4096,26053476,705635,294365,290269
1,j4_n32,zipf,1,100000,1000000,4096,35525290,707475,292525,288429
1,j5_n32,zipf,1,100000,1000000,4096,29894284,707475,292525,288429
1,orig,zipf,1,100000,1000000,16384,20883688,814191,185809,169425
1,j4_n128,zipf,1,100000,1000000,16384,31529459,813980,186020,169636
1,j5_n128,zipf,1,100000,1000000,16384,24269215,813980,186020,169636
2,orig,zipf,1,100000,1000000,1024,27412325,598348,401652,400628
2,j4_n8,zipf,1,100000,1000000,1024,39348865,601160,398840,397816
2,j5_n8,zipf,1,100000,1000000,1024,32855922,601160,398840,397816
2,orig,zipf,1,100000,1000000,4096,26271801,705635,294365,290269
2,j4_n32,zipf,1,100000,1000000,4096,34747993,707475,292525,288429
2,j5_n32,zipf,1,100000,1000000,4096,28189180,707475,292525,288429
2,orig,zipf,1,100000,1000000,16384,24058764,814191,185809,169425
2,j4_n128,zipf,1,100000,1000000,16384,32707116,813980,186020,169636
2,j5_n128,zipf,1,100000,1000000,16384,25304224,813980,186020,169636
3,orig,zipf,1,100000,1000000,1024,27105440,598348,401652,400628
3,j4_n8,zipf,1,100000,1000000,1024,41894331,601160,398840,397816
3,j5_n8,zipf,1,100000,1000000,1024,33581763,601160,398840,397816
3,orig,zipf,1,100000,1000000,4096,26653050,705635,294365,290269
3,j4_n32,zipf,1,100000,1000000,4096,33144304,707475,292525,288429
3,j5_n32,zipf,1,100000,1000000,4096,28247558,707475,292525,288429
3,orig,zipf,1,100000,1000000,16384,22537478,814191,185809,169425
3,j4_n128,zipf,1,100000,1000000,16384,31884403,813980,186020,169636
3,j5_n128,zipf,1,100000,1000000,16384,25659749,813980,186020,169636
4,orig,zipf,1,100000,1000000,1024,27288167,598348,401652,400628
4,j4_n8,zipf,1,100000,1000000,1024,40268951,601160,398840,397816
4,j5_n8,zipf,1,100000,1000000,1024,33050630,601160,398840,397816
4,orig,zipf,1,100000,1000000,4096,25644619,705635,294365,290269
4,j4_n32,zipf,1,100000,1000000,4096,35307444,707475,292525,288429
4,j5_n32,zipf,1,100000,1000000,4096,28671991,707475,292525,288429
4,orig,zipf,1,100000,1000000,16384,22808886,814191,185809,169425
4,j4_n128,zipf,1,100000,1000000,16384,32524941,813980,186020,169636
