trial,variant,source,skew,keys,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,zipf,0.9,100000,1000000,1024,1024,1,34441331,450302,549698,548674
1,j5_n32,zipf,0.9,100000,1000000,1024,32,32,28066564,449015,550985,549961
1,j5_n16,zipf,0.9,100000,1000000,1024,64,16,34219431,450560,549440,548416
1,j5_n8,zipf,0.9,100000,1000000,1024,128,8,38241239,452267,547733,546709
1,j5_n4,zipf,0.9,100000,1000000,1024,256,4,56780545,451887,548113,547089
1,orig,zipf,0.9,100000,1000000,4096,4096,1,32013455,570385,429615,425519
1,j5_n128,zipf,0.9,100000,1000000,4096,32,128,26037545,573862,426138,422042
1,j5_n64,zipf,0.9,100000,1000000,4096,64,64,29794174,574667,425333,421237
1,j5_n32,zipf,0.9,100000,1000000,4096,128,32,33660634,574376,425624,421528
1,j5_n16,zipf,0.9,100000,1000000,4096,256,16,49828483,573727,426273,422177
1,orig,zipf,0.9,100000,1000000,16384,16384,1,28704184,716034,283966,267582
1,j5_n512,zipf,0.9,100000,1000000,16384,32,512,24108957,716178,283822,267438
1,j5_n256,zipf,0.9,100000,1000000,16384,64,256,26520254,716374,283626,267242
1,j5_n128,zipf,0.9,100000,1000000,16384,128,128,33686457,716088,283912,267528
1,j5_n64,zipf,0.9,100000,1000000,16384,256,64,43187466,716106,283894,267510
1,orig,zipf,1,100000,1000000,1024,1024,1,28563872,598348,401652,400628
1,j5_n32,zipf,1,100000,1000000,1024,32,32,24090510,596016,403984,402960
1,j5_n16,zipf,1,100000,1000000,1024,64,16,28199063,599404,400596,399572
1,j5_n8,zipf,1,100000,1000000,1024,128,8,33440731,601160,398840,397816
1,j5_n4,zipf,1,100000,1000000,1024,256,4,48151313,601663,398337,397313
1,orig,zipf,1,100000,1000000,4096,4096,1,26023019,705635,294365,290269
1,j5_n128,zipf,1,100000,1000000,4096,32,128,20956740,706937,293063,288967
1,j5_n64,zipf,1,100000,1000000,4096,64,64,24418715,708367,291633,287537
1,j5_n32,zipf,1,100000,1000000,4096,128,32,28573566,707475,292525,288429
1,j5_n16,zipf,1,100000,1000000,4096,256,16,39990937,707067,292933,288837
