trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster018,1000000,1024,1024,1,37696562,501676,498324,497300
1,j7_n64,cluster018,1000000,1024,16,64,28550206,511234,488766,487742
1,j8_n64,cluster018,1000000,1024,16,64,31993990,511234,488766,487742
1,j7_n32,cluster018,1000000,1024,32,32,29470546,510136,489864,488840
1,j8_n32,cluster018,1000000,1024,32,32,33944186,510136,489864,488840
1,j7_n16,cluster018,1000000,1024,64,16,30560939,508369,491631,490607
1,j8_n16,cluster018,1000000,1024,64,16,36396091,508369,491631,490607
1,orig,cluster018,1000000,4096,4096,1,29448849,625267,374733,370637
1,j7_n256,cluster018,1000000,4096,16,256,29070072,625673,374327,370231
1,j8_n256,cluster018,1000000,4096,16,256,30392451,625673,374327,370231
1,j7_n128,cluster018,1000000,4096,32,128,29523942,627333,372667,368571
1,j8_n128,cluster018,1000000,4096,32,128,32821089,627333,372667,368571
1,j7_n64,cluster018,1000000,4096,64,64,29379748,627648,372352,368256
1,j8_n64,cluster018,1000000,4096,64,64,34179842,627648,372352,368256
1,orig,cluster018,1000000,16384,16384,1,29710393,737810,262190,245806
1,j7_n1024,cluster018,1000000,16384,16,1024,27875580,733969,266031,249647
1,j8_n1024,cluster018,1000000,16384,16,1024,28217001,733969,266031,249647
1,j7_n512,cluster018,1000000,16384,32,512,29628326,736524,263476,247092
1,j8_n512,cluster018,1000000,16384,32,512,30867263,736524,263476,247092
1,j7_n256,cluster018,1000000,16384,64,256,31488337,737376,262624,246240
1,j8_n256,cluster018,1000000,16384,64,256,32116193,737376,262624,246240
2,orig,cluster018,1000000,1024,1024,1,40310323,501676,498324,497300
2,j7_n64,cluster018,1000000,1024,16,64,28997905,511234,488766,487742
2,j8_n64,cluster018,1000000,1024,16,64,30844847,511234,488766,487742
2,j7_n32,cluster018,1000000,1024,32,32,29258626,510136,489864,488840
2,j8_n32,cluster018,1000000,1024,32,32,32383577,510136,489864,488840
2,j7_n16,cluster018,1000000,1024,64,16,30683401,508369,491631,490607
2,j8_n16,cluster018,1000000,1024,64,16,35700775,508369,491631,490607
2,orig,cluster018,1000000,4096,4096,1,30671036,625267,374733,370637
2,j7_n256,cluster018,1000000,4096,16,256,28259699,625673,374327,370231
2,j8_n256,cluster018,1000000,4096,16,256,29630581,625673,374327,370231
2,j7_n128,cluster018,1000000,4096,32,128,30099104,627333,372667,368571
2,j8_n128,cluster018,1000000,4096,32,128,31825756,627333,372667,368571
2,j7_n64,cluster018,1000000,4096,64,64,29115159,627648,372352,368256
2,j8_n64,cluster018,1000000,4096,64,64,34510008,627648,372352,368256
2,orig,cluster018,1000000,16384,16384,1,30440261,737810,262190,245806
2,j7_n1024,cluster018,1000000,16384,16,1024,31541630,733969,266031,249647
2,j8_n1024,cluster018,1000000,16384,16,1024,28965661,733969,266031,249647
2,j7_n512,cluster018,1000000,16384,32,512,30315912,736524,263476,247092
2,j8_n512,cluster018,1000000,16384,32,512,31718388,736524,263476,247092
2,j7_n256,cluster018,1000000,16384,64,256,30451879,737376,262624,246240
2,j8_n256,cluster018,1000000,16384,64,256,33388707,737376,262624,246240
3,orig,cluster018,1000000,1024,1024,1,37276116,501676,498324,497300
3,j7_n64,cluster018,1000000,1024,16,64,29792287,511234,488766,487742
3,j8_n64,cluster018,1000000,1024,16,64,30087100,511234,488766,487742
3,j7_n32,cluster018,1000000,1024,32,32,31296576,510136,489864,488840
3,j8_n32,cluster018,1000000,1024,32,32,32034579,510136,489864,488840
3,j7_n16,cluster018,1000000,1024,64,16,30818829,508369,491631,490607
3,j8_n16,cluster018,1000000,1024,64,16,36866247,508369,491631,490607
3,orig,cluster018,1000000,4096,4096,1,32689613,625267,374733,370637
3,j7_n256,cluster018,1000000,4096,16,256,28959451,625673,374327,370231
3,j8_n256,cluster018,1000000,4096,16,256,30830390,625673,374327,370231
3,j7_n128,cluster018,1000000,4096,32,128,29292816,627333,372667,368571
3,j8_n128,cluster018,1000000,4096,32,128,31772445,627333,372667,368571
3,j7_n64,cluster018,1000000,4096,64,64,30656379,627648,372352,368256
3,j8_n64,cluster018,1000000,4096,64,64,35314150,627648,372352,368256
3,orig,cluster018,1000000,16384,16384,1,31918538,737810,262190,245806
3,j7_n1024,cluster018,1000000,16384,16,1024,28460773,733969,266031,249647
3,j8_n1024,cluster018,1000000,16384,16,1024,29598939,733969,266031,249647
3,j7_n512,cluster018,1000000,16384,32,512,30728817,736524,263476,247092
3,j8_n512,cluster018,1000000,16384,32,512,29338278,736524,263476,247092
3,j7_n256,cluster018,1000000,16384,64,256,31668700,737376,262624,246240
3,j8_n256,cluster018,1000000,16384,64,256,32837567,737376,262624,246240
4,orig,cluster018,1000000,1024,1024,1,41177050,501676,498324,497300
4,j7_n64,cluster018,1000000,1024,16,64,30528327,511234,488766,487742
4,j8_n64,cluster018,1000000,1024,16,64,32539611,511234,488766,487742
4,j7_n32,cluster018,1000000,1024,32,32,29688910,510136,489864,488840
4,j8_n32,cluster018,1000000,1024,32,32,32699039,510136,489864,488840
4,j7_n16,cluster018,1000000,1024,64,16,30604154,508369,491631,490607
4,j8_n16,cluster018,1000000,1024,64,16,36196731,508369,491631,490607
4,orig,cluster018,1000000,4096,4096,1,30774638,625267,374733,370637
4,j7_n256,cluster018,1000000,4096,16,256,29502967,625673,374327,370231
4,j8_n256,cluster018,1000000,4096,16,256,30889913,625673,374327,370231
4,j7_n128,cluster018,1000000,4096,32,128,30332785,627333,372667,368571
4,j8_n128,cluster018,1000000,4096,32,128,32421303,627333,372667,368571
4,j7_n64,cluster018,1000000,4096,64,64,30155741,627648,372352,368256
4,j8_n64,cluster018,1000000,4096,64,64,35065661,627648,372352,368256
4,orig,cluster018,1000000,16384,16384,1,29271935,737810,262190,245806
4,j7_n1024,cluster018,1000000,16384,16,1024,29677265,733969,266031,249647
4,j8_n1024,cluster018,1000000,16384,16,1024,28696003,733969,266031,249647
4,j7_n512,cluster018,1000000,16384,32,512,29452690,736524,263476,247092
4,j8_n512,cluster018,1000000,16384,32,512,31493101,736524,263476,247092
4,j7_n256,cluster018,1000000,16384,64,256,32690871,737376,262624,246240
4,j8_n256,cluster018,1000000,16384,64,256,32570442,737376,262624,246240
5,orig,cluster018,1000000,1024,1024,1,37127326,501676,498324,497300
5,j7_n64,cluster018,1000000,1024,16,64,29266074,511234,488766,487742
5,j8_n64,cluster018,1000000,1024,16,64,32019815,511234,488766,487742
5,j7_n32,cluster018,1000000,1024,32,32,30858227,510136,489864,488840
5,j8_n32,cluster018,1000000,1024,32,32,31180780,510136,489864,488840
5,j7_n16,cluster018,1000000,1024,64,16,30417264,508369,491631,490607
5,j8_n16,cluster018,1000000,1024,64,16,34018369,508369,491631,490607
5,orig,cluster018,1000000,4096,4096,1,34181338,625267,374733,370637
5,j7_n256,cluster018,1000000,4096,16,256,29596565,625673,374327,370231
5,j8_n256,cluster018,1000000,4096,16,256,31217067,625673,374327,370231
5,j7_n128,cluster018,1000000,4096,32,128,29045166,627333,372667,368571
5,j8_n128,cluster018,1000000,4096,32,128,31067438,627333,372667,368571
5,j7_n64,cluster018,1000000,4096,64,64,30166274,627648,372352,368256
5,j8_n64,cluster018,1000000,4096,64,64,34659746,627648,372352,368256
5,orig,cluster018,1000000,16384,16384,1,29694275,737810,262190,245806
5,j7_n1024,cluster018,1000000,16384,16,1024,28414243,733969,266031,249647
5,j8_n1024,cluster018,1000000,16384,16,1024,29006202,733969,266031,249647
5,j7_n512,cluster018,1000000,16384,32,512,30444661,736524,263476,247092
5,j8_n512,cluster018,1000000,16384,32,512,33073699,736524,263476,247092
5,j7_n256,cluster018,1000000,16384,64,256,30997181,737376,262624,246240
5,j8_n256,cluster018,1000000,16384,64,256,32294431,737376,262624,246240
