trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster018,1000000,1024,1024,1,36887648,501676,498324,497300
1,j7_n64,cluster018,1000000,1024,16,64,28287988,511234,488766,487742
1,j8_n64,cluster018,1000000,1024,16,64,29990460,511234,488766,487742
1,j7_n32,cluster018,1000000,1024,32,32,29588924,510136,489864,488840
1,j8_n32,cluster018,1000000,1024,32,32,32303201,510136,489864,488840
1,j7_n16,cluster018,1000000,1024,64,16,30144901,508369,491631,490607
1,j8_n16,cluster018,1000000,1024,64,16,32827677,508369,491631,490607
1,orig,cluster018,1000000,4096,4096,1,31428892,625267,374733,370637
1,j7_n256,cluster018,1000000,4096,16,256,28604543,625673,374327,370231
1,j8_n256,cluster018,1000000,4096,16,256,28160539,625673,374327,370231
1,j7_n128,cluster018,1000000,4096,32,128,30590058,627333,372667,368571
1,j8_n128,cluster018,1000000,4096,32,128,29800856,627333,372667,368571
1,j7_n64,cluster018,1000000,4096,64,64,30301876,627648,372352,368256
1,j8_n64,cluster018,1000000,4096,64,64,32304196,627648,372352,368256
1,orig,cluster018,1000000,16384,16384,1,29151849,737810,262190,245806
1,j7_n1024,cluster018,1000000,16384,16,1024,27396076,733969,266031,249647
1,j8_n1024,cluster018,1000000,16384,16,1024,28808987,733969,266031,249647
1,j7_n512,cluster018,1000000,16384,32,512,29239508,736524,263476,247092
1,j8_n512,cluster018,1000000,16384,32,512,28804730,736524,263476,247092
1,j7_n256,cluster018,1000000,16384,64,256,30458771,737376,262624,246240
1,j8_n256,cluster018,1000000,16384,64,256,31533909,737376,262624,246240
2,orig,cluster018,1000000,1024,1024,1,38340053,501676,498324,497300
2,j7_n64,cluster018,1000000,1024,16,64,27338238,511234,488766,487742
2,j8_n64,cluster018,1000000,1024,16,64,30263453,511234,488766,487742
2,j7_n32,cluster018,1000000,1024,32,32,30566910,510136,489864,488840
2,j8_n32,cluster018,1000000,1024,32,32,32042434,510136,489864,488840
2,j7_n16,cluster018,1000000,1024,64,16,31204412,508369,491631,490607
2,j8_n16,cluster018,1000000,1024,64,16,36709852,508369,491631,490607
2,orig,cluster018,1000000,4096,4096,1,30211325,625267,374733,370637
2,j7_n256,cluster018,1000000,4096,16,256,28509629,625673,374327,370231
2,j8_n256,cluster018,1000000,4096,16,256,29416014,625673,374327,370231
2,j7_n128,cluster018,1000000,4096,32,128,29888314,627333,372667,368571
2,j8_n128,cluster018,1000000,4096,32,128,31482488,627333,372667,368571
2,j7_n64,cluster018,1000000,4096,64,64,29973978,627648,372352,368256
2,j8_n64,cluster018,1000000,4096,64,64,34799376,627648,372352,368256
2,orig,cluster018,1000000,16384,16384,1,31676402,737810,262190,245806
2,j7_n1024,cluster018,1000000,16384,16,1024,27976668,733969,266031,249647
2,j8_n1024,cluster018,1000000,16384,16,1024,28135565,733969,266031,249647
2,j7_n512,cluster018,1000000,16384,32,512,30087342,736524,263476,247092
2,j8_n512,cluster018,1000000,16384,32,512,31428470,736524,263476,247092
2,j7_n256,cluster018,1000000,16384,64,256,32687720,737376,262624,246240
2,j8_n256,cluster018,1000000,16384,64,256,32747592,737376,262624,246240
3,orig,cluster018,1000000,1024,1024,1,39789105,501676,498324,497300
3,j7_n64,cluster018,1000000,1024,16,64,29877937,511234,488766,487742
3,j8_n64,cluster018,1000000,1024,16,64,30649474,511234,488766,487742
3,j7_n32,cluster018,1000000,1024,32,32,29849264,510136,489864,488840
3,j8_n32,cluster018,1000000,1024,32,32,30345122,510136,489864,488840
3,j7_n16,cluster018,1000000,1024,64,16,30647263,508369,491631,490607
3,j8_n16,cluster018,1000000,1024,64,16,34118887,508369,491631,490607
3,orig,cluster018,1000000,4096,4096,1,31067886,625267,374733,370637
3,j7_n256,cluster018,1000000,4096,16,256,27893928,625673,374327,370231
3,j8_n256,cluster018,1000000,4096,16,256,30571638,625673,374327,370231
3,j7_n128,cluster018,1000000,4096,32,128,29814871,627333,372667,368571
3,j8_n128,cluster018,1000000,4096,32,128,31885868,627333,372667,368571
3,j7_n64,cluster018,1000000,4096,64,64,31065652,627648,372352,368256
3,j8_n64,cluster018,1000000,4096,64,64,34684237,627648,372352,368256
3,orig,cluster018,1000000,16384,16384,1,29262340,737810,262190,245806
3,j7_n1024,cluster018,1000000,16384,16,1024,28194805,733969,266031,249647
3,j8_n1024,cluster018,1000000,16384,16,1024,29017302,733969,266031,249647
3,j7_n512,cluster018,1000000,16384,32,512,29384167,736524,263476,247092
