trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster018,1000000,1024,1024,1,39700575,501676,498324,497300
1,j7_n64,cluster018,1000000,1024,16,64,31931111,511234,488766,487742
1,j8_n64,cluster018,1000000,1024,16,64,30420390,511234,488766,487742
1,j7_n32,cluster018,1000000,1024,32,32,33543905,510136,489864,488840
1,j8_n32,cluster018,1000000,1024,32,32,32421539,510136,489864,488840
1,j7_n16,cluster018,1000000,1024,64,16,31708397,508369,491631,490607
1,j8_n16,cluster018,1000000,1024,64,16,47915891,508369,491631,490607
1,orig,cluster018,1000000,4096,4096,1,40092109,625267,374733,370637
1,j7_n256,cluster018,1000000,4096,16,256,37012119,625673,374327,370231
1,j8_n256,cluster018,1000000,4096,16,256,40944752,625673,374327,370231
1,j7_n128,cluster018,1000000,4096,32,128,36722028,627333,372667,368571
1,j8_n128,cluster018,1000000,4096,32,128,36653200,627333,372667,368571
1,j7_n64,cluster018,1000000,4096,64,64,48710263,627648,372352,368256
1,j8_n64,cluster018,1000000,4096,64,64,41576121,627648,372352,368256
1,orig,cluster018,1000000,16384,16384,1,35347741,737810,262190,245806
1,j7_n1024,cluster018,1000000,16384,16,1024,29684650,733969,266031,249647
1,j8_n1024,cluster018,1000000,16384,16,1024,29353992,733969,266031,249647
1,j7_n512,cluster018,1000000,16384,32,512,31191363,736524,263476,247092
1,j8_n512,cluster018,1000000,16384,32,512,31572645,736524,263476,247092
1,j7_n256,cluster018,1000000,16384,64,256,32336993,737376,262624,246240
1,j8_n256,cluster018,1000000,16384,64,256,34815874,737376,262624,246240
2,orig,cluster018,1000000,1024,1024,1,52045648,501676,498324,497300
2,j7_n64,cluster018,1000000,1024,16,64,35362696,511234,488766,487742
2,j8_n64,cluster018,1000000,1024,16,64,43125134,511234,488766,487742
2,j7_n32,cluster018,1000000,1024,32,32,31373755,510136,489864,488840
2,j8_n32,cluster018,1000000,1024,32,32,40281699,510136,489864,488840
2,j7_n16,cluster018,1000000,1024,64,16,39253050,508369,491631,490607
2,j8_n16,cluster018,1000000,1024,64,16,41168561,508369,491631,490607
2,orig,cluster018,1000000,4096,4096,1,31623457,625267,374733,370637
2,j7_n256,cluster018,1000000,4096,16,256,28717358,625673,374327,370231
2,j8_n256,cluster018,1000000,4096,16,256,30493994,625673,374327,370231
2,j7_n128,cluster018,1000000,4096,32,128,28970851,627333,372667,368571
2,j8_n128,cluster018,1000000,4096,32,128,32337196,627333,372667,368571
2,j7_n64,cluster018,1000000,4096,64,64,32509574,627648,372352,368256
2,j8_n64,cluster018,1000000,4096,64,64,36457951,627648,372352,368256
2,orig,cluster018,1000000,16384,16384,1,30230214,737810,262190,245806
2,j7_n1024,cluster018,1000000,16384,16,1024,30023579,733969,266031,249647
2,j8_n1024,cluster018,1000000,16384,16,1024,29793791,733969,266031,249647
2,j7_n512,cluster018,1000000,16384,32,512,28762274,736524,263476,247092
2,j8_n512,cluster018,1000000,16384,32,512,32488939,736524,263476,247092
2,j7_n256,cluster018,1000000,16384,64,256,32214393,737376,262624,246240
2,j8_n256,cluster018,1000000,16384,64,256,32828189,737376,262624,246240
3,orig,cluster018,1000000,1024,1024,1,38434352,501676,498324,497300
3,j7_n64,cluster018,1000000,1024,16,64,28807224,511234,488766,487742
3,j8_n64,cluster018,1000000,1024,16,64,29209273,511234,488766,487742
3,j7_n32,cluster018,1000000,1024,32,32,30145719,510136,489864,488840
3,j8_n32,cluster018,1000000,1024,32,32,32367635,510136,489864,488840
3,j7_n16,cluster018,1000000,1024,64,16,32110420,508369,491631,490607
3,j8_n16,cluster018,1000000,1024,64,16,34607357,508369,491631,490607
3,orig,cluster018,1000000,4096,4096,1,30028880,625267,374733,370637
3,j7_n256,cluster018,1000000,4096,16,256,41487422,625673,374327,370231
3,j8_n256,cluster018,1000000,4096,16,256,30739444,625673,374327,370231
3,j7_n128,cluster018,1000000,4096,32,128,30832658,627333,372667,368571
3,j8_n128,cluster018,1000000,4096,32,128,31820522,627333,372667,368571
3,j7_n64,cluster018,1000000,4096,64,64,30220153,627648,372352,368256
3,j8_n64,cluster018,1000000,4096,64,64,44311105,627648,372352,368256
3,orig,cluster018,1000000,16384,16384,1,31312089,737810,262190,245806
3,j7_n1024,cluster018,1000000,16384,16,1024,29074999,733969,266031,249647
3,j8_n1024,cluster018,1000000,16384,16,1024,28147149,733969,266031,249647
3,j7_n512,cluster018,1000000,16384,32,512,30667721,736524,263476,247092
3,j8_n512,cluster018,1000000,16384,32,512,32071789,736524,263476,247092
3,j7_n256,cluster018,1000000,16384,64,256,32218125,737376,262624,246240
3,j8_n256,cluster018,1000000,16384,64,256,34418995,737376,262624,246240
4,orig,cluster018,1000000,1024,1024,1,37362352,501676,498324,497300
4,j7_n64,cluster018,1000000,1024,16,64,29213106,511234,488766,487742
4,j8_n64,cluster018,1000000,1024,16,64,30555589,511234,488766,487742
4,j7_n32,cluster018,1000000,1024,32,32,30074046,510136,489864,488840
4,j8_n32,cluster018,1000000,1024,32,32,32530892,510136,489864,488840
4,j7_n16,cluster018,1000000,1024,64,16,29705401,508369,491631,490607
4,j8_n16,cluster018,1000000,1024,64,16,36473150,508369,491631,490607
4,orig,cluster018,1000000,4096,4096,1,30179423,625267,374733,370637
4,j7_n256,cluster018,1000000,4096,16,256,28838421,625673,374327,370231
4,j8_n256,cluster018,1000000,4096,16,256,28980418,625673,374327,370231
4,j7_n128,cluster018,1000000,4096,32,128,28818956,627333,372667,368571
4,j8_n128,cluster018,1000000,4096,32,128,32322755,627333,372667,368571
