trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster006,1000000,1024,1024,1,47581558,132154,867846,866822
1,j8_n64,cluster006,1000000,1024,16,64,29534459,130323,869677,868653
1,j8_n32,cluster006,1000000,1024,32,32,31394576,131317,868683,867659
1,j8_n16,cluster006,1000000,1024,64,16,35938353,131811,868189,867165
1,orig,cluster006,1000000,4096,4096,1,43641341,348606,651394,647298
1,j8_n256,cluster006,1000000,4096,16,256,31899121,347915,652085,647989
1,j8_n128,cluster006,1000000,4096,32,128,32776662,351809,648191,644095
1,j8_n64,cluster006,1000000,4096,64,64,35271276,352933,647067,642971
1,orig,cluster006,1000000,16384,16384,1,34798081,640281,359719,343335
1,j8_n1024,cluster006,1000000,16384,16,1024,30106078,630282,369718,353334
1,j8_n512,cluster006,1000000,16384,32,512,31698569,638399,361601,345217
1,j8_n256,cluster006,1000000,16384,64,256,33242757,641770,358230,341846
1,orig,cluster006,1000000,65536,65536,1,29805631,829343,170657,105121
1,j8_n2048,cluster006,1000000,65536,32,2048,26698486,827400,172600,107064
1,j8_n1024,cluster006,1000000,65536,64,1024,31740227,828812,171188,105652
1,orig,cluster018,1000000,1024,1024,1,37774037,501676,498324,497300
1,j8_n64,cluster018,1000000,1024,16,64,30257936,511234,488766,487742
1,j8_n32,cluster018,1000000,1024,32,32,30401009,510136,489864,488840
1,j8_n16,cluster018,1000000,1024,64,16,33835595,508369,491631,490607
1,orig,cluster018,1000000,4096,4096,1,31194825,625267,374733,370637
1,j8_n256,cluster018,1000000,4096,16,256,30991565,625673,374327,370231
1,j8_n128,cluster018,1000000,4096,32,128,31493944,627333,372667,368571
1,j8_n64,cluster018,1000000,4096,64,64,31574607,627648,372352,368256
1,orig,cluster018,1000000,16384,16384,1,28130606,737810,262190,245806
1,j8_n1024,cluster018,1000000,16384,16,1024,28455881,733969,266031,249647
1,j8_n512,cluster018,1000000,16384,32,512,31243318,736524,263476,247092
1,j8_n256,cluster018,1000000,16384,64,256,32959379,737376,262624,246240
1,orig,cluster018,1000000,65536,65536,1,27163373,820608,179392,113856
1,j8_n2048,cluster018,1000000,65536,32,2048,27732262,820448,179552,114016
1,j8_n1024,cluster018,1000000,65536,64,1024,31417883,820672,179328,113792
1,orig,cluster019,1000000,1024,1024,1,53151015,240886,759114,758090
1,j8_n64,cluster019,1000000,1024,16,64,30741652,305930,694070,693046
1,j8_n32,cluster019,1000000,1024,32,32,34078590,304116,695884,694860
1,j8_n16,cluster019,1000000,1024,64,16,37900212,300278,699722,698698
1,orig,cluster019,1000000,4096,4096,1,44070424,296407,703593,699497
1,j8_n256,cluster019,1000000,4096,16,256,30985193,316719,683281,679185
1,j8_n128,cluster019,1000000,4096,32,128,35425493,316413,683587,679491
1,j8_n64,cluster019,1000000,4096,64,64,38333919,316021,683979,679883
1,orig,cluster019,1000000,16384,16384,1,52611918,315254,684746,668362
1,j8_n1024,cluster019,1000000,16384,16,1024,33068778,321851,678149,661765
1,j8_n512,cluster019,1000000,16384,32,512,34860965,321732,678268,661884
1,j8_n256,cluster019,1000000,16384,64,256,38995787,321684,678316,661932
1,orig,cluster019,1000000,65536,65536,1,56534070,327455,672545,607009
1,j8_n2048,cluster019,1000000,65536,32,2048,37251370,328763,671237,605701
1,j8_n1024,cluster019,1000000,65536,64,1024,41600286,328769,671231,605695
2,orig,cluster006,1000000,1024,1024,1,47346842,132154,867846,866822
2,j8_n64,cluster006,1000000,1024,16,64,29999363,130323,869677,868653
2,j8_n32,cluster006,1000000,1024,32,32,30647837,131317,868683,867659
2,j8_n16,cluster006,1000000,1024,64,16,34048474,131811,868189,867165
2,orig,cluster006,1000000,4096,4096,1,43366121,348606,651394,647298
2,j8_n256,cluster006,1000000,4096,16,256,31715463,347915,652085,647989
2,j8_n128,cluster006,1000000,4096,32,128,31766260,351809,648191,644095
2,j8_n64,cluster006,1000000,4096,64,64,34506884,352933,647067,642971
2,orig,cluster006,1000000,16384,16384,1,34720234,640281,359719,343335
2,j8_n1024,cluster006,1000000,16384,16,1024,29576006,630282,369718,353334
2,j8_n512,cluster006,1000000,16384,32,512,32493075,638399,361601,345217
2,j8_n256,cluster006,1000000,16384,64,256,33674699,641770,358230,341846
2,orig,cluster006,1000000,65536,65536,1,29498295,829343,170657,105121
2,j8_n2048,cluster006,1000000,65536,32,2048,27861012,827400,172600,107064
2,j8_n1024,cluster006,1000000,65536,64,1024,30150536,828812,171188,105652
2,orig,cluster018,1000000,1024,1024,1,38424758,501676,498324,497300
2,j8_n64,cluster018,1000000,1024,16,64,29484439,511234,488766,487742
2,j8_n32,cluster018,1000000,1024,32,32,31473041,510136,489864,488840
2,j8_n16,cluster018,1000000,1024,64,16,36076982,508369,491631,490607
2,orig,cluster018,1000000,4096,4096,1,30184883,625267,374733,370637
2,j8_n256,cluster018,1000000,4096,16,256,29536513,625673,374327,370231
2,j8_n128,cluster018,1000000,4096,32,128,30384212,627333,372667,368571
