trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster018,1000000,1024,1024,1,38329590,501676,498324,497300
1,j7_n16,cluster018,1000000,1024,64,16,30260359,508369,491631,490607
1,j8_n16,cluster018,1000000,1024,64,16,33275642,508369,491631,490607
1,orig,cluster018,1000000,4096,4096,1,30188592,625267,374733,370637
1,j7_n64,cluster018,1000000,4096,64,64,28718015,627648,372352,368256
1,j8_n64,cluster018,1000000,4096,64,64,33596218,627648,372352,368256
1,orig,cluster018,1000000,16384,16384,1,27109922,737810,262190,245806
1,j7_n256,cluster018,1000000,16384,64,256,31506082,737376,262624,246240
1,j8_n256,cluster018,1000000,16384,64,256,33356876,737376,262624,246240
2,orig,cluster018,1000000,1024,1024,1,38554587,501676,498324,497300
2,j7_n16,cluster018,1000000,1024,64,16,31481962,508369,491631,490607
2,j8_n16,cluster018,1000000,1024,64,16,36490430,508369,491631,490607
2,orig,cluster018,1000000,4096,4096,1,31306676,625267,374733,370637
2,j7_n64,cluster018,1000000,4096,64,64,31372081,627648,372352,368256
2,j8_n64,cluster018,1000000,4096,64,64,33734026,627648,372352,368256
2,orig,cluster018,1000000,16384,16384,1,28157185,737810,262190,245806
2,j7_n256,cluster018,1000000,16384,64,256,30426883,737376,262624,246240
2,j8_n256,cluster018,1000000,16384,64,256,34212044,737376,262624,246240
3,orig,cluster018,1000000,1024,1024,1,39847607,501676,498324,497300
3,j7_n16,cluster018,1000000,1024,64,16,31127182,508369,491631,490607
3,j8_n16,cluster018,1000000,1024,64,16,35857813,508369,491631,490607
3,orig,cluster018,1000000,4096,4096,1,30465970,625267,374733,370637
3,j7_n64,cluster018,1000000,4096,64,64,29862477,627648,372352,368256
3,j8_n64,cluster018,1000000,4096,64,64,34892093,627648,372352,368256
3,orig,cluster018,1000000,16384,16384,1,32012602,737810,262190,245806
3,j7_n256,cluster018,1000000,16384,64,256,32995256,737376,262624,246240
3,j8_n256,cluster018,1000000,16384,64,256,32989250,737376,262624,246240
4,orig,cluster018,1000000,1024,1024,1,37801728,501676,498324,497300
4,j7_n16,cluster018,1000000,1024,64,16,31672348,508369,491631,490607
4,j8_n16,cluster018,1000000,1024,64,16,35231364,508369,491631,490607
4,orig,cluster018,1000000,4096,4096,1,31675519,625267,374733,370637
4,j7_n64,cluster018,1000000,4096,64,64,31391373,627648,372352,368256
4,j8_n64,cluster018,1000000,4096,64,64,35105292,627648,372352,368256
4,orig,cluster018,1000000,16384,16384,1,29753945,737810,262190,245806
4,j7_n256,cluster018,1000000,16384,64,256,32496385,737376,262624,246240
4,j8_n256,cluster018,1000000,16384,64,256,35798707,737376,262624,246240
5,orig,cluster018,1000000,1024,1024,1,37279424,501676,498324,497300
5,j7_n16,cluster018,1000000,1024,64,16,33398375,508369,491631,490607
5,j8_n16,cluster018,1000000,1024,64,16,35573619,508369,491631,490607
5,orig,cluster018,1000000,4096,4096,1,30191656,625267,374733,370637
5,j7_n64,cluster018,1000000,4096,64,64,31094441,627648,372352,368256
5,j8_n64,cluster018,1000000,4096,64,64,36082058,627648,372352,368256
5,orig,cluster018,1000000,16384,16384,1,29085199,737810,262190,245806
5,j7_n256,cluster018,1000000,16384,64,256,30843122,737376,262624,246240
5,j8_n256,cluster018,1000000,16384,64,256,33426056,737376,262624,246240
