trial,variant,workload,skew,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster006,,1000000,1024,1024,1,49304041,132154,867846,866822
1,j8_n32,cluster006,,1000000,1024,32,32,32023474,131317,868683,867659
1,mini_moka,cluster006,,1000000,1024,0,0,500526428,106445,893555,0
1,moka,cluster006,,1000000,1024,0,0,880099067,106064,893936,0
1,orig,cluster006,,1000000,4096,4096,1,44749485,348606,651394,647298
1,j8_n128,cluster006,,1000000,4096,32,128,33194063,351809,648191,644095
1,mini_moka,cluster006,,1000000,4096,0,0,457136090,333259,666741,0
1,moka,cluster006,,1000000,4096,0,0,853051104,332034,667966,0
1,orig,cluster006,,1000000,16384,16384,1,37410267,640281,359719,343335
1,j8_n512,cluster006,,1000000,16384,32,512,31036888,638399,361601,345217
1,mini_moka,cluster006,,1000000,16384,0,0,415627363,618693,381307,0
1,moka,cluster006,,1000000,16384,0,0,709874086,618323,381677,0
1,orig,cluster006,,1000000,65536,65536,1,26706214,829343,170657,105121
1,j8_n2048,cluster006,,1000000,65536,32,2048,28504775,827400,172600,107064
1,mini_moka,cluster006,,1000000,65536,0,0,430321326,807062,192938,0
1,moka,cluster006,,1000000,65536,0,0,698137140,807553,192447,0
1,orig,cluster018,,1000000,1024,1024,1,37396521,501676,498324,497300
1,j8_n32,cluster018,,1000000,1024,32,32,31393100,510136,489864,488840
1,mini_moka,cluster018,,1000000,1024,0,0,424999749,381577,618423,0
1,moka,cluster018,,1000000,1024,0,0,752083807,381373,618627,0
1,orig,cluster018,,1000000,4096,4096,1,31751286,625267,374733,370637
1,j8_n128,cluster018,,1000000,4096,32,128,31986784,627333,372667,368571
1,mini_moka,cluster018,,1000000,4096,0,0,420685577,497943,502057,0
1,moka,cluster018,,1000000,4096,0,0,709870593,498408,501592,0
1,orig,cluster018,,1000000,16384,16384,1,28794079,737810,262190,245806
1,j8_n512,cluster018,,1000000,16384,32,512,30205553,736524,263476,247092
1,mini_moka,cluster018,,1000000,16384,0,0,394814017,619464,380536,0
1,moka,cluster018,,1000000,16384,0,0,805311556,619631,380369,0
1,orig,cluster018,,1000000,65536,65536,1,26344483,820608,179392,113856
1,j8_n2048,cluster018,,1000000,65536,32,2048,29485559,820448,179552,114016
1,mini_moka,cluster018,,1000000,65536,0,0,396066175,713593,286407,0
1,moka,cluster018,,1000000,65536,0,0,696783238,713186,286814,0
1,orig,cluster019,,1000000,1024,1024,1,49224158,240886,759114,758090
1,j8_n32,cluster019,,1000000,1024,32,32,33503698,304116,695884,694860
1,mini_moka,cluster019,,1000000,1024,0,0,517572767,33545,966455,0
1,moka,cluster019,,1000000,1024,0,0,915448946,33739,966261,0
1,orig,cluster019,,1000000,4096,4096,1,42158050,296407,703593,699497
1,j8_n128,cluster019,,1000000,4096,32,128,34453754,316413,683587,679491
1,mini_moka,cluster019,,1000000,4096,0,0,518226704,35533,964467,0
1,moka,cluster019,,1000000,4096,0,0,986043525,35367,964633,0
1,orig,cluster019,,1000000,16384,16384,1,50756006,315254,684746,668362
1,j8_n512,cluster019,,1000000,16384,32,512,35177805,321732,678268,661884
1,mini_moka,cluster019,,1000000,16384,0,0,532326216,43195,956805,0
1,moka,cluster019,,1000000,16384,0,0,1092064431,43602,956398,0
1,orig,cluster019,,1000000,65536,65536,1,59266102,327455,672545,607009
1,j8_n2048,cluster019,,1000000,65536,32,2048,37040020,328763,671237,605701
1,mini_moka,cluster019,,1000000,65536,0,0,555137001,75052,924948,0
1,moka,cluster019,,1000000,65536,0,0,1366293789,75264,924736,0
1,orig,zipf,0.6,1000000,1024,1024,1,51556413,115269,884731,883707
1,j8_n32,zipf,0.6,1000000,1024,32,32,30445768,120283,879717,878693
1,mini_moka,zipf,0.6,1000000,1024,0,0,503977460,96831,903169,0
1,moka,zipf,0.6,1000000,1024,0,0,867841256,97151,902849,0
1,orig,zipf,0.6,1000000,4096,4096,1,46779408,213104,786896,782800
1,j8_n128,zipf,0.6,1000000,4096,32,128,30611563,221065,778935,774839
1,mini_moka,zipf,0.6,1000000,4096,0,0,482869829,212744,787256,0
1,moka,zipf,0.6,1000000,4096,0,0,908268232,213177,786823,0
1,orig,zipf,0.6,1000000,16384,16384,1,48153617,401834,598166,581782
1,j8_n512,zipf,0.6,1000000,16384,32,512,33642273,407711,592289,575905
1,mini_moka,zipf,0.6,1000000,16384,0,0,459142595,413485,586515,0
1,moka,zipf,0.6,1000000,16384,0,0,889006602,415786,584214,0
1,orig,zipf,0.6,1000000,65536,65536,1,38135924,770684,229316,163780
1,j8_n2048,zipf,0.6,1000000,65536,32,2048,34491799,766341,233659,168146
1,mini_moka,zipf,0.6,1000000,65536,0,0,443387873,769867,230133,0
1,moka,zipf,0.6,1000000,65536,0,0,758235558,769569,230431,0
1,orig,zipf,0.8,1000000,1024,1024,1,41260017,309067,690933,689909
1,j8_n32,zipf,0.8,1000000,1024,32,32,30023319,311111,688889,687865
1,mini_moka,zipf,0.8,1000000,1024,0,0,451871047,290361,709639,0
1,moka,zipf,0.8,1000000,1024,0,0,786717253,290281,709719,0
1,orig,zipf,0.8,1000000,4096,4096,1,37679740,432521,567479,563383
1,j8_n128,zipf,0.8,1000000,4096,32,128,30675462,438115,561885,557789
1,mini_moka,zipf,0.8,1000000,4096,0,0,424375803,434726,565274,0
1,moka,zipf,0.8,1000000,4096,0,0,770073546,434654,565346,0
1,orig,zipf,0.8,1000000,16384,16384,1,36083669,606609,393391,377007
1,j8_n512,zipf,0.8,1000000,16384,32,512,31282483,608253,391747,375363
1,mini_moka,zipf,0.8,1000000,16384,0,0,401113540,615905,384095,0
1,moka,zipf,0.8,1000000,16384,0,0,771795319,615818,384182,0
1,orig,zipf,0.8,1000000,65536,65536,1,25535214,848244,151756,86220
1,j8_n2048,zipf,0.8,1000000,65536,32,2048,28371812,844211,155789,90290
1,mini_moka,zipf,0.8,1000000,65536,0,0,421637395,846427,153573,0
1,moka,zipf,0.8,1000000,65536,0,0,630194388,846493,153507,0
1,orig,zipf,1.0,1000000,1024,1024,1,31950389,598348,401652,400628
1,j8_n32,zipf,1.0,1000000,1024,32,32,28081022,596016,403984,402960
1,mini_moka,zipf,1.0,1000000,1024,0,0,369187156,589680,410320,0
1,moka,zipf,1.0,1000000,1024,0,0,596762174,590196,409804,0
1,orig,zipf,1.0,1000000,4096,4096,1,27060828,705635,294365,290269
1,j8_n128,zipf,1.0,1000000,4096,32,128,24069256,706937,293063,288967
1,mini_moka,zipf,1.0,1000000,4096,0,0,346943784,708291,291709,0
1,moka,zipf,1.0,1000000,4096,0,0,557832742,707609,292391,0
1,orig,zipf,1.0,1000000,16384,16384,1,22646009,814191,185809,169425
1,j8_n512,zipf,1.0,1000000,16384,32,512,21486493,813264,186736,170352
1,mini_moka,zipf,1.0,1000000,16384,0,0,321825372,817009,182991,0
1,moka,zipf,1.0,1000000,16384,0,0,517410014,816225,183775,0
1,orig,zipf,1.0,1000000,65536,65536,1,23784695,913192,86808,21272
1,j8_n2048,zipf,1.0,1000000,65536,32,2048,19311087,910796,89204,24210
1,mini_moka,zipf,1.0,1000000,65536,0,0,334654566,913034,86966,0
1,moka,zipf,1.0,1000000,65536,0,0,412995428,912980,87020,0
1,orig,zipf,1.2,1000000,1024,1024,1,18991720,841056,158944,157920
1,j8_n32,zipf,1.2,1000000,1024,32,32,17362574,838820,161180,160156
1,mini_moka,zipf,1.2,1000000,1024,0,0,281401025,839350,160650,0
1,moka,zipf,1.2,1000000,1024,0,0,423582221,839435,160565,0
1,orig,zipf,1.2,1000000,4096,4096,1,17215686,897791,102209,98113
1,j8_n128,zipf,1.2,1000000,4096,32,128,15970013,897179,102821,98725
1,mini_moka,zipf,1.2,1000000,4096,0,0,275275274,899441,100559,0
1,moka,zipf,1.2,1000000,4096,0,0,388135557,898157,101843,0
1,orig,zipf,1.2,1000000,16384,16384,1,14542659,937388,62612,46228
1,j8_n512,zipf,1.2,1000000,16384,32,512,14923640,936865,63135,46751
1,mini_moka,zipf,1.2,1000000,16384,0,0,272371017,936892,63108,0
1,moka,zipf,1.2,1000000,16384,0,0,353237208,936930,63070,0
1,orig,zipf,1.2,1000000,65536,65536,1,16076104,953382,46618,0
1,j8_n2048,zipf,1.2,1000000,65536,32,2048,14794435,953375,46625,128
1,mini_moka,zipf,1.2,1000000,65536,0,0,274210648,953382,46618,0
1,moka,zipf,1.2,1000000,65536,0,0,313770478,953382,46618,0
2,orig,cluster006,,1000000,1024,1024,1,47173148,132154,867846,866822
2,j8_n32,cluster006,,1000000,1024,32,32,30355580,131317,868683,867659
2,mini_moka,cluster006,,1000000,1024,0,0,495921834,106695,893305,0
2,moka,cluster006,,1000000,1024,0,0,852113259,105743,894257,0
2,orig,cluster006,,1000000,4096,4096,1,44696624,348606,651394,647298
2,j8_n128,cluster006,,1000000,4096,32,128,32704143,351809,648191,644095
2,mini_moka,cluster006,,1000000,4096,0,0,439875576,331802,668198,0
2,moka,cluster006,,1000000,4096,0,0,823793236,332084,667916,0
2,orig,cluster006,,1000000,16384,16384,1,35515672,640281,359719,343335
2,j8_n512,cluster006,,1000000,16384,32,512,30670944,638399,361601,345217
