trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster006,1000000,1024,64,16,46560163,132154,867846,866822
1,senba_n16,cluster006,1000000,1024,64,16,34616161,131811,868189,867165
1,orig,cluster006,1000000,4096,64,64,40018027,348606,651394,647298
1,senba_n64,cluster006,1000000,4096,64,64,35305096,352933,647067,642971
1,orig,cluster006,1000000,16384,64,256,33166934,640281,359719,343335
1,senba_n256,cluster006,1000000,16384,64,256,32870707,641770,358230,341846
1,orig,cluster016,1000000,1024,64,16,42845853,362663,637337,636313
1,senba_n16,cluster016,1000000,1024,64,16,35185815,368891,631109,630085
1,orig,cluster016,1000000,4096,64,64,35581677,493693,506307,502211
1,senba_n64,cluster016,1000000,4096,64,64,34456892,496901,503099,499003
1,orig,cluster016,1000000,16384,64,256,33604872,675207,324793,308409
1,senba_n256,cluster016,1000000,16384,64,256,34461384,675307,324693,308309
1,orig,cluster018,1000000,1024,64,16,34591729,501676,498324,497300
1,senba_n16,cluster018,1000000,1024,64,16,33283991,508369,491631,490607
1,orig,cluster018,1000000,4096,64,64,28861146,625267,374733,370637
1,senba_n64,cluster018,1000000,4096,64,64,31295160,627648,372352,368256
1,orig,cluster018,1000000,16384,64,256,29036704,737810,262190,245806
1,senba_n256,cluster018,1000000,16384,64,256,30032879,737376,262624,246240
1,orig,cluster019,1000000,1024,64,16,48491791,240886,759114,758090
1,senba_n16,cluster019,1000000,1024,64,16,32224225,300278,699722,698698
1,orig,cluster019,1000000,4096,64,64,45086048,296407,703593,699497
1,senba_n64,cluster019,1000000,4096,64,64,34071556,316021,683979,679883
1,orig,cluster019,1000000,16384,64,256,48367582,315254,684746,668362
1,senba_n256,cluster019,1000000,16384,64,256,34441006,321684,678316,661932
1,orig,cluster034,1000000,1024,64,16,44568103,304611,695389,694365
1,senba_n16,cluster034,1000000,1024,64,16,33819966,305990,694010,692986
1,orig,cluster034,1000000,4096,64,64,40608902,355199,644801,640705
1,senba_n64,cluster034,1000000,4096,64,64,33553477,355495,644505,640409
1,orig,cluster034,1000000,16384,64,256,46550555,390165,609835,593451
1,senba_n256,cluster034,1000000,16384,64,256,34912870,390423,609577,593193
