trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster006,1000000,1024,1024,1,106399906,132154,867846,866822
1,senba_n32,cluster006,1000000,1024,32,32,62029806,131146,868854,867830
1,senba_n16,cluster006,1000000,1024,64,16,72756438,131317,868683,867659
1,orig,cluster006,1000000,4096,4096,1,102663993,348606,651394,647298
1,senba_n128,cluster006,1000000,4096,32,128,64105520,352134,647866,643770
1,senba_n64,cluster006,1000000,4096,64,64,67277293,353086,646914,642818
1,orig,cluster006,1000000,16384,16384,1,100184907,640281,359719,343335
1,senba_n512,cluster006,1000000,16384,32,512,72411399,637576,362424,346040
1,senba_n256,cluster006,1000000,16384,64,256,73705535,641351,358649,342265
1,orig,cluster006,1000000,65536,65536,1,119876070,829343,170657,105121
1,senba_n2048,cluster006,1000000,65536,32,2048,81672945,827429,172571,107035
1,senba_n1024,cluster006,1000000,65536,64,1024,84960488,828848,171152,105616
1,orig,cluster016,1000000,1024,1024,1,82908990,362663,637337,636313
1,senba_n32,cluster016,1000000,1024,32,32,55611111,370708,629292,628268
1,senba_n16,cluster016,1000000,1024,64,16,58096956,369163,630837,629813
1,orig,cluster016,1000000,4096,4096,1,80711824,493693,506307,502211
1,senba_n128,cluster016,1000000,4096,32,128,54626062,497287,502713,498617
1,senba_n64,cluster016,1000000,4096,64,64,58497322,497051,502949,498853
1,orig,cluster016,1000000,16384,16384,1,81619090,675207,324793,308409
1,senba_n512,cluster016,1000000,16384,32,512,59912312,675466,324534,308150
1,senba_n256,cluster016,1000000,16384,64,256,62364660,676218,323782,307398
1,orig,cluster016,1000000,65536,65536,1,102826507,776617,223383,157847
1,senba_n2048,cluster016,1000000,65536,32,2048,71883118,775833,224167,158631
1,senba_n1024,cluster016,1000000,65536,64,1024,71023517,776390,223610,158074
1,orig,cluster018,1000000,1024,1024,1,71708164,501676,498324,497300
1,senba_n32,cluster018,1000000,1024,32,32,52607093,510655,489345,488321
1,senba_n16,cluster018,1000000,1024,64,16,54473678,508066,491934,490910
1,orig,cluster018,1000000,4096,4096,1,68900001,625267,374733,370637
1,senba_n128,cluster018,1000000,4096,32,128,49484871,627104,372896,368800
1,senba_n64,cluster018,1000000,4096,64,64,52021533,627585,372415,368319
1,orig,cluster018,1000000,16384,16384,1,69612923,737810,262190,245806
1,senba_n512,cluster018,1000000,16384,32,512,56310525,736081,263919,247535
1,senba_n256,cluster018,1000000,16384,64,256,60317027,737034,262966,246582
1,orig,cluster018,1000000,65536,65536,1,82982899,820608,179392,113856
1,senba_n2048,cluster018,1000000,65536,32,2048,62745534,820648,179352,113816
1,senba_n1024,cluster018,1000000,65536,64,1024,65217613,820716,179284,113748
1,orig,cluster019,1000000,1024,1024,1,97186693,240886,759114,758090
1,senba_n32,cluster019,1000000,1024,32,32,57520650,304042,695958,694934
1,senba_n16,cluster019,1000000,1024,64,16,60694592,300384,699616,698592
1,orig,cluster019,1000000,4096,4096,1,94943558,296407,703593,699497
1,senba_n128,cluster019,1000000,4096,32,128,58528183,316445,683555,679459
1,senba_n64,cluster019,1000000,4096,64,64,62177286,316016,683984,679888
1,orig,cluster019,1000000,16384,16384,1,130739637,315254,684746,668362
1,senba_n512,cluster019,1000000,16384,32,512,76474970,321669,678331,661947
1,senba_n256,cluster019,1000000,16384,64,256,73309173,321654,678346,661962
1,orig,cluster019,1000000,65536,65536,1,173519936,327455,672545,607009
1,senba_n2048,cluster019,1000000,65536,32,2048,94771798,328802,671198,605662
1,senba_n1024,cluster019,1000000,65536,64,1024,88893490,328667,671333,605797
1,orig,cluster034,1000000,1024,1024,1,87466762,304611,695389,694365
1,senba_n32,cluster034,1000000,1024,32,32,57394503,304654,695346,694322
1,senba_n16,cluster034,1000000,1024,64,16,62863266,305692,694308,693284
1,orig,cluster034,1000000,4096,4096,1,95886436,355199,644801,640705
1,senba_n128,cluster034,1000000,4096,32,128,60536881,354941,645059,640963
1,senba_n64,cluster034,1000000,4096,64,64,61035847,355391,644609,640513
1,orig,cluster034,1000000,16384,16384,1,120578085,390165,609835,593451
