trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster006,1000000,1024,1024,1,47086929,132154,867846,866822
1,j8_n32,cluster006,1000000,1024,32,32,30790485,131317,868683,867659
1,moka,cluster006,1000000,1024,0,0,836570881,106193,893807,0
1,mini_moka,cluster006,1000000,1024,0,0,486808556,106829,893171,0
1,orig,cluster006,1000000,4096,4096,1,41586311,348606,651394,647298
1,j8_n128,cluster006,1000000,4096,32,128,32502536,351809,648191,644095
1,moka,cluster006,1000000,4096,0,0,819314058,332595,667405,0
1,mini_moka,cluster006,1000000,4096,0,0,432693990,331404,668596,0
1,orig,cluster006,1000000,16384,16384,1,34737135,640281,359719,343335
1,j8_n512,cluster006,1000000,16384,32,512,31060098,638399,361601,345217
1,moka,cluster006,1000000,16384,0,0,699992752,617626,382374,0
1,mini_moka,cluster006,1000000,16384,0,0,386424743,618490,381510,0
1,orig,cluster006,1000000,65536,65536,1,29346656,829343,170657,105121
1,j8_n2048,cluster006,1000000,65536,32,2048,25744462,827400,172600,107064
1,moka,cluster006,1000000,65536,0,0,650761218,807292,192708,0
1,mini_moka,cluster006,1000000,65536,0,0,457072187,807123,192877,0
1,orig,cluster016,1000000,1024,1024,1,43039170,362663,637337,636313
1,j8_n32,cluster016,1000000,1024,32,32,33810830,370592,629408,628384
1,moka,cluster016,1000000,1024,0,0,835506476,211290,788710,0
1,mini_moka,cluster016,1000000,1024,0,0,459117377,211626,788374,0
1,orig,cluster016,1000000,4096,4096,1,36529021,493693,506307,502211
1,j8_n128,cluster016,1000000,4096,32,128,31204992,497245,502755,498659
1,moka,cluster016,1000000,4096,0,0,813859334,338552,661448,0
1,mini_moka,cluster016,1000000,4096,0,0,438276126,338525,661475,0
1,orig,cluster016,1000000,16384,16384,1,36447665,675207,324793,308409
1,j8_n512,cluster016,1000000,16384,32,512,32944304,675166,324834,308450
1,moka,cluster016,1000000,16384,0,0,767704304,512336,487664,0
1,mini_moka,cluster016,1000000,16384,0,0,417678121,512259,487741,0
1,orig,cluster016,1000000,65536,65536,1,25855910,776617,223383,157847
1,j8_n2048,cluster016,1000000,65536,32,2048,30053316,775920,224080,158544
1,moka,cluster016,1000000,65536,0,0,819876006,574871,425129,0
1,mini_moka,cluster016,1000000,65536,0,0,415892587,574949,425051,0
1,orig,cluster018,1000000,1024,1024,1,36142680,501676,498324,497300
1,j8_n32,cluster018,1000000,1024,32,32,30570686,510136,489864,488840
1,moka,cluster018,1000000,1024,0,0,693246615,381399,618601,0
1,mini_moka,cluster018,1000000,1024,0,0,408706338,382054,617946,0
1,orig,cluster018,1000000,4096,4096,1,29300776,625267,374733,370637
1,j8_n128,cluster018,1000000,4096,32,128,30250582,627333,372667,368571
1,moka,cluster018,1000000,4096,0,0,693269580,497951,502049,0
1,mini_moka,cluster018,1000000,4096,0,0,386043941,498466,501534,0
1,orig,cluster018,1000000,16384,16384,1,27981474,737810,262190,245806
1,j8_n512,cluster018,1000000,16384,32,512,29813639,736524,263476,247092
1,moka,cluster018,1000000,16384,0,0,669284101,620067,379933,0
1,mini_moka,cluster018,1000000,16384,0,0,379479560,619581,380419,0
1,orig,cluster018,1000000,65536,65536,1,22312892,820608,179392,113856
1,j8_n2048,cluster018,1000000,65536,32,2048,26659357,820448,179552,114016
1,moka,cluster018,1000000,65536,0,0,648285335,713191,286809,0
1,mini_moka,cluster018,1000000,65536,0,0,389132297,713390,286610,0
1,orig,cluster019,1000000,1024,1024,1,48114625,240886,759114,758090
1,j8_n32,cluster019,1000000,1024,32,32,31839112,304116,695884,694860
1,moka,cluster019,1000000,1024,0,0,878705616,33525,966475,0
1,mini_moka,cluster019,1000000,1024,0,0,509867060,33825,966175,0
1,orig,cluster019,1000000,4096,4096,1,42985082,296407,703593,699497
1,j8_n128,cluster019,1000000,4096,32,128,32433142,316413,683587,679491
1,moka,cluster019,1000000,4096,0,0,984365241,35058,964942,0
1,mini_moka,cluster019,1000000,4096,0,0,520635877,35225,964775,0
1,orig,cluster019,1000000,16384,16384,1,50090511,315254,684746,668362
1,j8_n512,cluster019,1000000,16384,32,512,33700396,321732,678268,661884
1,moka,cluster019,1000000,16384,0,0,1064215999,43703,956297,0
1,mini_moka,cluster019,1000000,16384,0,0,533943286,43467,956533,0
1,orig,cluster019,1000000,65536,65536,1,54727824,327455,672545,607009
1,j8_n2048,cluster019,1000000,65536,32,2048,36366144,328763,671237,605701
1,moka,cluster019,1000000,65536,0,0,1344084554,74713,925287,0
1,mini_moka,cluster019,1000000,65536,0,0,529196520,75240,924760,0
1,orig,cluster034,1000000,1024,1024,1,44991515,304611,695389,694365
1,j8_n32,cluster034,1000000,1024,32,32,29705679,305111,694889,693865
1,moka,cluster034,1000000,1024,0,0,769617425,253846,746154,0
1,mini_moka,cluster034,1000000,1024,0,0,451610356,253635,746365,0
1,orig,cluster034,1000000,4096,4096,1,40084227,355199,644801,640705
